"Gene"	"log2FC"	"FDR"
"106"	"ITGAL"	-2.47783002337424	7.84368747409628e-22
"107"	"PDK2"	-0.450935354153054	4.50565290775812e-05
"108"	"ITGA3"	-0.903601446401036	9.42385360468114e-05
"109"	"ZFX"	0.227110370483291	0.0728687347264565
"110"	"LAMP2"	0.450909308356684	1.96293695189136e-06
"111"	"ITGA2B"	-1.05145244976137	0.000128846533884364
"112"	"ASB4"	-1.90532760802276	3.57728659514836e-07
"113"	"GDE1"	-0.147438700304151	0.0677495824651267
"114"	"REX1BD"	0.346795355461809	0.0292698015149006
"115"	"CRLF1"	-0.205518619336128	0.568575728024558
"116"	"OSBPL7"	-0.712160253419788	1.97612875705578e-05
"117"	"TMEM98"	-0.738202923134507	5.27942234076612e-06
"118"	"YBX2"	3.20671853482965	5.18543055379127e-13
"119"	"MAP3K14"	-0.737237635819722	4.85975054735503e-05
"120"	"ABCC8"	-3.01312469388109	4.50461148456119e-10
"121"	"TMEM132A"	3.16485047197399	5.57549402176635e-35
"122"	"AP2B1"	-0.0850078944357211	0.479705231606358
"123"	"ZNF263"	0.126957554309329	0.160281069790792
"124"	"CX3CL1"	-1.05275697719044	6.25040412439174e-06
"125"	"SPATA20"	0.341726282919784	0.0247777193973024
"126"	"CACNA1G"	-0.117998133345193	0.709729214723559
"127"	"TNFRSF12A"	-0.209975049029628	0.422039204379545
"128"	"DLX6"	7.47048507440616	1.234313571853e-24
"129"	"MAP3K9"	0.286691553262808	0.0774575371180771
"130"	"RALA"	-0.121998162756788	0.247584485742506
"131"	"BAIAP2L1"	1.2409311767429	1.52553086610273e-18
"132"	"KDM7A"	0.00436622721689783	0.974825586063076
"133"	"ETV1"	-2.05168614153028	3.10872513348645e-18
"134"	"AGK"	0.666898216346085	1.01995828624476e-13
"135"	"ALDH3B1"	-3.69987188971433	2.07979999074507e-40
"136"	"TTC22"	1.48509962925452	5.77093203661475e-11
"137"	"PHTF2"	0.932383264623056	4.80589147183924e-14
"138"	"CCL26"	2.69157310457244	1.28704583411418e-11
"139"	"FARP2"	0.458452988541854	4.93250200012243e-06
"140"	"USH1C"	0.389432950429534	0.42888203117173
"141"	"GGCT"	1.90137269384911	1.89969677205457e-24
"142"	"DBF4"	1.98984980024018	1.85075356619524e-29
"143"	"TBXA2R"	-1.50215561536468	1.44813731056679e-15
"144"	"IFRD1"	-0.232133838260616	0.124034261520466
"145"	"COX10"	0.477945590350189	3.10926504016447e-09
"146"	"GTF2IRD1"	1.39315344209622	3.34842175801741e-21
"147"	"PAF1"	0.236006161114415	0.0417962374853994
"148"	"VPS41"	-0.0125758980487332	0.888840507810435
"149"	"ARHGAP44"	-3.41145837301991	1.54013836785219e-31
"150"	"ELAC2"	0.312842591638285	1.19241715943595e-05
"151"	"SCIN"	-1.15264852094914	3.01667768247505e-05
"152"	"ARSD"	-0.524016018126145	0.000349221791733857
"153"	"PNPLA4"	0.343493896584269	0.018445814826835
"154"	"ADIPOR2"	0.220637850346937	0.0244810658219358
"155"	"CDKL3"	0.335403147718999	0.0431805734186301
"156"	"PRSS21"	0.045142282864874	0.938766074496271
"157"	"MARK4"	0.751367579049027	8.6461657216948e-13
"158"	"PROM1"	-1.07272241886314	0.061206650298235
"159"	"CCDC124"	0.475863497662777	2.07128320686126e-05
"160"	"CEACAM21"	-2.83151194440806	2.88606449982093e-20
"161"	"PAFAH1B1"	-0.290994740849261	3.59364391166194e-05
"162"	"NOS2"	-0.31274209849632	0.446713713015117
"163"	"DNAH9"	-3.3668525506721	4.90735427675679e-10
"164"	"KIAA0100"	0.169948493216195	0.104473090079266
"165"	"SLC13A2"	-2.70260715457066	1.7963625773339e-08
"166"	"GAS7"	-1.41673931568763	2.45968007972429e-11
"167"	"TRAPPC6A"	0.324309785357724	0.0274056807023183
"168"	"MATK"	-1.70146818658306	1.40644358626131e-14
"169"	"CEACAM7"	0.997552468630121	0.0484179445708317
"170"	"CD79B"	-0.898824342869906	0.00292016228168044
"171"	"SCN4A"	-0.0862220837237362	0.824164030834138
"172"	"ST7L"	0.0524492498986677	0.732120018614512
"173"	"TKTL1"	-1.95139651241926	0.000185964358862301
"174"	"RPUSD1"	1.06197741049672	6.85802771633192e-14
"175"	"RHBDF1"	-0.189279907477452	0.151671663904315
"176"	"LUC7L"	-0.0969958633583508	0.571592436934844
"177"	"CACNA2D2"	-5.48020210457744	1.90298425610763e-37
"178"	"BAIAP3"	-1.62288990139054	8.79621706857843e-07
"179"	"TSR3"	0.383074350814634	3.82355403497109e-05
"180"	"PIGQ"	-0.488117182160373	1.78881298163405e-05
"181"	"CRAMP1"	0.265209927771121	0.0176763363920217
"182"	"TEAD3"	0.731560612487244	5.98030719640697e-11
"183"	"SELE"	-2.96265033424578	1.11266093642119e-06
"184"	"DNAJC11"	0.589420565346066	2.96345484366641e-09
"185"	"FMO3"	-1.44751340978657	3.26130998289609e-07
"186"	"MYLIP"	-0.82419188874829	1.86249632309565e-07
"187"	"NOX1"	0.351467679485966	0.059462002786621
"188"	"E2F2"	3.2314949477019	3.78731767594707e-29
"189"	"PSMB1"	0.636695052702235	2.56718788444601e-09
"190"	"SYN1"	0.163132255811819	0.510570340001
"191"	"JARID2"	1.29274896299354	2.76036828351391e-21
"192"	"CDKL5"	-1.23960619984216	1.1004621767633e-14
"193"	"CAMK1G"	-0.509862046643462	0.0160938156305806
"194"	"CDK11A"	-0.231397219508457	0.181116138124745
"195"	"NADK"	-0.129530996602058	0.136670842280662
"196"	"DLEC1"	-2.54556176876555	4.56026948972938e-11
"197"	"CYTH3"	-0.533963154569236	1.678270332775e-05
"198"	"ADAM22"	-0.722390454415714	0.00481442642904112
"199"	"SYPL1"	0.531361186818812	0.000106442992847623
