"Gene"	"log2FC"	"FDR"
"1"	"TSPAN6"	1.18702399327773	2.23509711749386e-11
"2"	"DPM1"	0.331889722769385	0.00175254758170439
"3"	"SCYL3"	0.57733150779679	4.23008150722629e-06
"4"	"C1orf112"	1.91991644144355	6.57629928601935e-20
"5"	"FGR"	-2.25255558180159	4.76450643365994e-18
"6"	"CFH"	0.307969965019818	0.1416483339251
"7"	"FUCA2"	0.312586456458444	0.00716610276325675
"8"	"GCLC"	1.81354851965024	1.03446493283064e-09
"9"	"NFYA"	0.798780043558932	1.56296779209188e-11
"10"	"STPG1"	-0.115593925724538	0.432041520454897
"11"	"NIPAL3"	-0.570188418857434	4.57728399476799e-07
"12"	"LAS1L"	0.388358280656557	2.72007621246575e-05
"13"	"ENPP4"	-0.745351709841243	4.80839093616881e-07
"14"	"SEMA3F"	-0.445726737731882	0.0223308398946251
"15"	"CFTR"	-2.20379569772208	6.60722869181894e-08
"16"	"ANKIB1"	0.898376309508952	8.03738058012943e-12
"17"	"CYP51A1"	-0.860456768698263	1.0641058690169e-06
"18"	"KRIT1"	0.360302468148052	0.0172214680667213
"19"	"RAD52"	0.26606900447472	0.0994670758546679
"20"	"BAD"	-0.267946484622832	0.078010431317968
"21"	"LAP3"	-0.2142648462817	0.0937942378813883
"22"	"CD99"	0.0726356588832768	0.6516838551148
"23"	"HS3ST1"	1.14089533582653	1.15185740019262e-06
"24"	"AOC1"	2.68993881473268	3.75489242707675e-05
"25"	"HECW1"	2.28024323220551	9.78753583080175e-12
"26"	"MAD1L1"	-0.450387773666162	0.0574343808820452
"27"	"LASP1"	0.231800064944848	0.0823431872107945
"28"	"SNX11"	-0.0376038236558438	0.749252053397314
"29"	"TMEM176A"	0.544031436540993	0.0409562794843065
"30"	"M6PR"	-0.252736096734965	0.0156143667170934
"31"	"KLHL13"	-0.294800947824325	0.37329096457538
"32"	"CYP26B1"	-0.882308653487293	0.0069675939008666
"33"	"ICA1"	0.951372858939274	5.95931311784824e-11
"34"	"DBNDD1"	1.80460637195286	2.51031851833162e-11
"35"	"ALS2"	0.164652777080458	0.115769096445959
"36"	"CASP10"	-0.257274898168398	0.102155171794304
"37"	"CFLAR"	-0.662046323250952	6.97639339412438e-05
"38"	"TFPI"	-0.845940976967391	0.000811544474422452
"39"	"NDUFAF7"	0.560270422893619	7.12148004297313e-08
"40"	"RBM5"	-0.0624718903954111	0.740005087102971
"41"	"MTMR7"	0.760586530607681	0.0671510748778886
"42"	"SLC7A2"	-0.219612766818504	0.646792552713363
"43"	"ARF5"	0.116696179371889	0.563422202580752
"44"	"SARM1"	-0.360337394161008	0.046866638583009
"45"	"POLDIP2"	0.396383636664529	0.00459268516066305
"46"	"PLXND1"	-0.556195858242837	0.000755398976951829
"47"	"AK2"	0.559683980900179	3.00788063144489e-09
"48"	"CD38"	-0.0878640211649273	0.788618325991923
"49"	"FKBP4"	0.811866419930417	2.55116764149981e-07
"50"	"KDM1A"	0.759256587847573	3.37899145219383e-11
"51"	"RBM6"	-0.0460736239738067	0.809764377379617
"52"	"CAMKK1"	-0.508754766493523	0.000536513805490085
"53"	"RECQL"	0.246309029745703	0.0689022452808472
"54"	"VPS50"	0.328058751763217	0.000448492524470032
"55"	"HSPB6"	-2.97255142306944	3.96652669000957e-17
"56"	"ARHGAP33"	0.697873367007041	0.00686973629677755
"57"	"NDUFAB1"	0.41211910342498	0.00151438589951365
"58"	"PDK4"	-2.45358554173856	1.32378695632034e-14
"59"	"ZMYND10"	-2.43330676748698	8.60942914779122e-07
"60"	"ARX"	0.414050522959053	0.499327242736676
"61"	"SLC25A13"	1.22311813444588	2.08555797599146e-19
"62"	"ST7"	-0.733876222489478	1.69047438906999e-13
"63"	"CDC27"	0.568881659797735	2.54308498972992e-08
"64"	"SLC4A1"	-2.4932305154426	1.48844487585526e-08
"65"	"CALCR"	-0.190029005481192	0.620724700949975
"66"	"HCCS"	0.386226505447644	3.27592789774678e-05
"67"	"DVL2"	0.104208425479798	0.371769144999385
"68"	"PRSS22"	0.883210452788969	0.000205813009998321
"69"	"UPF1"	0.0122486362061283	0.936736419820829
"70"	"SKAP2"	-0.0156310551392052	0.907779578804995
"71"	"SLC25A5"	0.0900179607418714	0.590825895185987
"72"	"MCUB"	0.422962055170044	0.00815703381080859
"73"	"POLR2J"	0.412246474464244	0.0222465597602307
"74"	"DHX33"	0.599007671729904	2.98784744951501e-08
"75"	"MEOX1"	-0.635840159987219	0.0989747577928317
"76"	"THSD7A"	-0.601486148520466	0.0098887227860259
"77"	"LIG3"	0.942142028259354	7.21572861341215e-13
"78"	"RPAP3"	0.711136009741198	9.83965746011223e-13
"79"	"ACSM3"	-0.572896189674004	0.00691603392022603
"80"	"REXO5"	1.09113744005126	1.58085326387234e-10
"81"	"CIAPIN1"	0.249177249329398	0.0258609849209452
"82"	"SPPL2B"	0.219806897196839	0.135297501274219
"83"	"FAM214B"	-0.395859859117445	0.000348502671926589
"84"	"COPZ2"	-0.355432358136875	0.0799930270217206
"85"	"PRKAR2B"	-0.334981722286221	0.0794227368075346
"86"	"MSL3"	0.181103645194496	0.0573288732964015
"87"	"CREBBP"	0.116903695525979	0.421658787487962
"88"	"TSPOAP1"	-0.691486055925339	0.00346254617130522
"89"	"MPO"	-0.502616083414863	0.100321996583048
"90"	"PON1"	0.105809609471133	0.792487171442376
"91"	"GCFC2"	0.488790038245221	6.92096472511684e-05
"92"	"WDR54"	-0.0876418840641806	0.728803472732122
"93"	"CROT"	0.189627090462326	0.210230037137004
"94"	"ABCB4"	1.85037645278134	3.15430328383476e-09
"95"	"KMT2E"	0.0420678429062322	0.797752151920683
"96"	"RHBDD2"	-0.616578134170167	0.00013930064105591
"97"	"SOX8"	0.180991514439835	0.621257627755937
"98"	"IBTK"	0.344787039592335	0.0059283055547271
"99"	"ZNF195"	0.734222615161563	4.83519119989218e-05
"100"	"MYCBP2"	0.144333122356289	0.457351461593589
"101"	"FBXL3"	-0.44602632568583	2.15536476614212e-05
"102"	"ITGAL"	-1.47590006331	3.070250373811e-09
"103"	"PDK2"	-0.428020993123576	0.00516534515309752
"104"	"ITGA3"	-0.180804477190359	0.479271894518131
"105"	"ZFX"	0.0603528699440723	0.691899359325999
"106"	"LAMP2"	0.166318479184295	0.0494736801803993
"107"	"ITGA2B"	-1.03742568417546	0.000432676565264703
"108"	"ASB4"	-0.960145975905822	0.000277893318295553
"109"	"GDE1"	0.184485812714628	0.0402765859824415
"110"	"REX1BD"	-0.123211822332069	0.548852485451254
"111"	"CRLF1"	2.05088630145209	0.001876354153919
"112"	"OSBPL7"	0.327479987140758	0.0752548897313737
"113"	"TMEM98"	-0.380993031104339	0.0652978514389588
"114"	"YBX2"	3.40717406955175	3.1056525725188e-09
"115"	"MAP3K14"	-0.751355952785872	5.51362732154852e-05
"116"	"ABCC8"	-1.82468698709615	0.000188866980017171
"117"	"TMEM132A"	1.75833379254947	4.43901455411541e-08
"118"	"AP2B1"	0.276506025473234	0.00763988187060807
"119"	"ZNF263"	0.122980837178244	0.100502645657312
