"Gene"	"log2FC"	"FDR"
"1"	"TSPAN6"	1.20765901046645	3.11657489930518e-14
"2"	"TNMD"	0.204434377321533	0.669398524938959
"3"	"DPM1"	0.310576331242677	0.000927498308473913
"4"	"SCYL3"	0.539426532528388	7.99780686133017e-07
"5"	"C1orf112"	1.81882968684967	4.06198423833676e-25
"6"	"FGR"	-2.20627127548669	1.92266411603506e-24
"7"	"CFH"	0.20878538959454	0.250428055796499
"8"	"FUCA2"	0.335351424947287	0.00102805535189218
"9"	"GCLC"	1.59959470394332	2.57296513417579e-08
"10"	"NFYA"	0.83261755347221	3.8054308005582e-15
"11"	"STPG1"	-0.237644930630935	0.0607464410887283
"12"	"NIPAL3"	-0.602373221789151	5.96967404458881e-09
"13"	"LAS1L"	0.386350365253318	7.33832871369628e-06
"14"	"ENPP4"	-0.709806494789969	1.00228911272332e-07
"15"	"SEMA3F"	-0.46808931280363	0.00720937755590468
"16"	"CFTR"	-2.2940566010267	9.45115502683141e-11
"17"	"ANKIB1"	0.788619587198023	7.53928525159963e-12
"18"	"CYP51A1"	-0.925126301779629	5.11492290613616e-08
"19"	"KRIT1"	0.296022238067478	0.025867409884608
"20"	"RAD52"	0.258939627813831	0.072079795478509
"21"	"MYH16"	2.20523003793799	4.30992250310584e-10
"22"	"BAD"	-0.306645333446649	0.0276227488117271
"23"	"LAP3"	-0.177313082683805	0.120142076000066
"24"	"CD99"	0.0929751165095194	0.43867302301871
"25"	"CD99"	0.0912037379633501	0.347899934457849
"26"	"HS3ST1"	1.19886749691948	3.1240976756668e-08
"27"	"AOC1"	2.8092726871291	1.7190850451629e-07
"28"	"WNT16"	1.12740943749132	0.0040519897441475
"29"	"HECW1"	2.49741567086939	2.14440326536829e-15
"30"	"MAD1L1"	-0.413401187147679	0.0470524215718528
"31"	"LASP1"	0.23148187783368	0.040368428580336
"32"	"SNX11"	-0.0420507027633246	0.65651027032473
"33"	"TMEM176A"	0.614694494294485	0.00870381488308502
"34"	"M6PR"	-0.216134777874654	0.0306331136027781
"35"	"KLHL13"	-0.517333397660496	0.080595646816716
"36"	"CYP26B1"	-0.952678995446307	0.00102821691624275
"37"	"ICA1"	0.94249865770557	3.54520555466695e-14
"38"	"DBNDD1"	1.7833503663064	9.26229705379648e-16
"39"	"ALS2"	0.074278752633206	0.408702501184505
"40"	"CASP10"	-0.218937796563777	0.112722220661273
"41"	"CFLAR"	-0.73412682255105	9.6938423430499e-08
"42"	"TFPI"	-0.674539418035907	0.00186602047344908
"43"	"NDUFAF7"	0.52317030192586	1.98700704351634e-09
"44"	"RBM5"	-0.105972109752251	0.448060617243354
"45"	"MTMR7"	0.491361905571133	0.15663414043725
"46"	"SLC7A2"	-0.310037854357923	0.421644056728506
"47"	"ARF5"	0.158089368846293	0.332782031331312
"48"	"SARM1"	-0.370269096478692	0.0174051815200449
"49"	"POLDIP2"	0.464807011744009	8.55641003480778e-05
"50"	"PLXND1"	-0.523291277646527	0.000258706749868051
"51"	"AK2"	0.535405773858767	2.69300461527097e-10
"52"	"CD38"	-0.34058655411918	0.202363316325826
"53"	"FKBP4"	0.829950861860765	7.28894243448553e-09
"54"	"KDM1A"	0.673680804723165	6.30578510669519e-12
"55"	"RBM6"	-0.0894441652299989	0.531120811425986
"56"	"CAMKK1"	-0.529795939309797	4.07211215735861e-05
"57"	"RECQL"	0.171821397018348	0.191025959148468
"58"	"VPS50"	0.245374669659104	0.00407520702536133
"59"	"HSPB6"	-3.02151331368712	2.70331297940142e-24
"60"	"ARHGAP33"	0.662563754242167	0.0035459526486549
"61"	"NDUFAB1"	0.455191674229189	5.04371421905384e-05
"62"	"PDK4"	-2.51384182861461	1.56536574826459e-19
"63"	"SLC22A16"	-0.0915486862285815	0.770389901890572
"64"	"ZMYND10"	-2.67404395694568	1.91288624342053e-09
"65"	"ABCB5"	-0.686376672898749	0.0680061619257989
"66"	"ARX"	0.262120419660144	0.611613773917479
"67"	"SLC25A13"	1.14054983003474	1.5499455950377e-22
"68"	"ST7"	-0.718199173609081	1.26561911428226e-16
"69"	"CDC27"	0.528145683793669	7.53283537739808e-10
"70"	"SLC4A1"	-2.30388692172964	7.1349784661179e-09
"71"	"CALCR"	-0.0648180200550283	0.843962718971047
"72"	"HCCS"	0.419611370488235	1.70973740291491e-07
"73"	"DVL2"	0.0918706826879667	0.388396710884969
"74"	"PRSS22"	0.989222106718349	2.26183812605788e-06
"75"	"UPF1"	-0.0339965996486216	0.77338817194008
"76"	"SKAP2"	-0.0189666476189743	0.879362449800883
"77"	"SLC25A5"	0.232835681594199	0.0804703397216698
"78"	"MCUB"	0.398129751821542	0.0084876106026532
"79"	"HOXA11"	1.86509093583639	1.62539664367282e-05
"80"	"POLR2J"	0.431948877494074	0.00730394385318063
"81"	"DHX33"	0.525595010299526	2.57239299775737e-07
"82"	"MEOX1"	-0.551812410536518	0.110120126713352
"83"	"THSD7A"	-0.699291796188247	0.00107513451416851
"84"	"LIG3"	0.857137822509687	3.14224609677883e-15
"85"	"RPAP3"	0.650183439868233	3.85919557118375e-13
"86"	"ACSM3"	-0.415177980765764	0.0332344635753296
"87"	"REXO5"	0.925157843930013	2.98418124951498e-10
"88"	"CIAPIN1"	0.297738290366005	0.00249167012236191
"89"	"SPPL2B"	0.161082236123828	0.227870205339229
"90"	"FAM214B"	-0.343104224691534	0.000602208337621079
"91"	"COPZ2"	-0.332787741352695	0.0736934944477525
"92"	"PRKAR2B"	-0.371358186928636	0.0500970326642762
"93"	"MSL3"	0.133848364865086	0.144735373457084
"94"	"CREBBP"	0.0260392268960317	0.834118763504635
"95"	"TSPOAP1"	-0.747733910977125	0.000399164962498827
"96"	"MPO"	-0.47120308419409	0.0873028929556502
"97"	"PON1"	0.340968010416699	0.30073565718105
"98"	"GCFC2"	0.408502840429025	0.000174746344596876
"99"	"WDR54"	-0.311539806745726	0.153633167123227
"100"	"CROT"	0.102027026806955	0.405480262550172
"101"	"ABCB4"	1.85136716161863	9.94810173033987e-13
"102"	"KMT2E"	-0.0325430258455652	0.800214515843217
"103"	"RHBDD2"	-0.569794038211641	1.66320059974369e-05
"104"	"SOX8"	0.251091221391172	0.376394654921765
"105"	"IBTK"	0.343278459254409	0.00131982475603463
"106"	"ZNF195"	0.701852774276338	4.58147925692728e-06
"107"	"MYCBP2"	0.0237931379887701	0.881301870241836
"108"	"FBXL3"	-0.494845289827455	1.14032441210518e-07
"109"	"ITGAL"	-1.45003757342507	1.0886155385958e-12
"110"	"PDK2"	-0.424816758993907	0.00171530191355964
"111"	"ITGA3"	-0.0508335446317556	0.804824195642216
"112"	"ZFX"	0.0296887496267466	0.806637036246449
"113"	"LAMP2"	0.192246320700664	0.0192262194546461
"114"	"ITGA2B"	-1.10928257113994	3.99713434628674e-05
"115"	"ASB4"	-0.954302644937001	4.40087000921577e-05
"116"	"GDE1"	0.2249678945537	0.00953232379277143
"117"	"REX1BD"	-0.118386651409417	0.46543261881448
"118"	"CRLF1"	1.98521200085067	0.000190165585555675
"119"	"OSBPL7"	0.288367763075592	0.067174794723555
"120"	"TMEM98"	-0.323929879431933	0.0722208251988103
"121"	"YBX2"	3.21280312135422	1.26355057163591e-10
"122"	"KRT33A"	0.678109164664478	0.0121623717311752
"123"	"MAP3K14"	-0.727893928569341	1.475928375116e-05
"124"	"ABCC8"	-1.8997752744279	6.00366590132276e-06
"125"	"CACNG3"	0.704387905685641	0.000639860961151725
"126"	"TMEM132A"	1.73887738430104	4.72954105007478e-11
"127"	"AP2B1"	0.269967664222925	0.00230184094475093
"128"	"TAC1"	-0.922731925356039	0.0238317832439291
"129"	"ZNF263"	0.141738103220319	0.0313817546067993
"130"	"CX3CL1"	-1.59596588770645	6.96281136931602e-09
"131"	"SPATA20"	0.458220905088147	0.0080830089151086
"132"	"CACNA1G"	0.569497219231497	0.0710751760643384
"133"	"TNFRSF12A"	0.338399106515857	0.163205034563992
"134"	"DLX6"	2.38726847999989	4.8866092735618e-07
"135"	"MAP3K9"	0.367220382201499	0.033329401156797
"136"	"RALA"	-0.161605057802112	0.155454066211763
"137"	"BAIAP2L1"	1.07173150189093	4.20550182964921e-14
"138"	"KDM7A"	0.178442113662555	0.252049936974854
"139"	"ETV1"	-1.19071811815024	3.38910313557306e-13
"140"	"AGK"	0.59370997365281	6.14392818242426e-09
"141"	"ALDH3B1"	-1.71825298370953	4.05678798082122e-13
"142"	"TTC22"	0.731087744540175	2.08700386052418e-06
"143"	"PHTF2"	0.777526917431979	1.30469271791242e-09
"144"	"CCL26"	1.02756080547165	0.0036720128679236
"145"	"FARP2"	0.265257576385772	0.0295708660886516
"146"	"USH1C"	0.92974937640243	0.0549242014901914
"147"	"GGCT"	1.47173978789407	1.04901320319465e-19
"148"	"DBF4"	1.5026189238973	1.33484697270577e-19
"149"	"TBXA2R"	-0.895512451889795	1.81857037337719e-06
"150"	"IFRD1"	0.0718227092346044	0.702973164974523
"151"	"LGALS14"	0.0819522459950424	0.688903007572301
"152"	"COX10"	0.353465338972407	1.19052604991864e-06
"153"	"GTF2IRD1"	0.869951758572924	2.22069162765741e-11
"154"	"PAF1"	-0.0778384387298541	0.495656138755596
"155"	"VPS41"	0.168831609318935	0.0229967114490052
"156"	"ARHGAP44"	-2.03948620601132	3.65509946910347e-24
"157"	"ELAC2"	0.167885272970644	0.0675345733915507
"158"	"SCIN"	0.42565423755154	0.170029601713972
"159"	"ARSD"	0.392870278479501	0.00788327869154375
"160"	"PNPLA4"	-0.0125686939635168	0.938450787996087
"161"	"MYH13"	0.357093634023862	0.28197694324911
"162"	"ADIPOR2"	-0.642641992246295	3.66074590049467e-10
"163"	"CDKL3"	0.525186744461328	0.0130515371222412
"164"	"UPP2"	0.0961839139890657	0.763195229701556
"165"	"PRSS21"	-1.30685712735209	0.00508124154883924
"166"	"MARK4"	0.290746765353484	0.0152662353516243
"167"	"PROM1"	0.520351904511757	0.338788983028327
"168"	"CCDC124"	-0.228309714583297	0.267855376405824
"169"	"CEACAM21"	-1.54721278586428	2.66931564901948e-09
"170"	"PAFAH1B1"	-0.298013159170424	0.000413622681532336
"171"	"NOS2"	-1.31969966083523	1.44288858676867e-06
"172"	"DNAH9"	-3.42729938504956	2.16519679150401e-09
"173"	"KIAA0100"	0.0637793258733197	0.494389061592731
"174"	"SLC13A2"	-3.44702941180509	3.45238220761785e-10
"175"	"GAS7"	-0.885944770873175	8.99152664477232e-07
"176"	"TRAPPC6A"	-0.300712152958484	0.144112693933263
"177"	"MATK"	-1.48101085341334	7.79131905004204e-10
"178"	"CEACAM7"	2.15049239700233	7.1560385843648e-06
"179"	"CD79B"	0.533704862979683	0.0701496925540874
"180"	"SCN4A"	1.32567100830751	0.000316675588746671
"181"	"ST7L"	0.246202383609386	0.0366667300264246
"182"	"TKTL1"	-1.63918010621943	5.67188251428503e-05
"183"	"PAX6"	0.960750613832821	0.0153928237971031
"184"	"RPUSD1"	0.612812421407884	0.000427586098123113
"185"	"RHBDF1"	0.145771086371857	0.277156909614948
"186"	"LUC7L"	0.34650396953406	0.0322026620820294
"187"	"CACNA2D2"	-3.82027139280564	3.94045830484772e-24
"188"	"BAIAP3"	-0.0961476739241554	0.730900165011059
"189"	"TSR3"	-0.0234242388203816	0.888420719315453
"190"	"PIGQ"	-0.497939683466893	0.000110714288598368
"191"	"CRAMP1"	-0.0601721997910389	0.607190462326916
"192"	"TEAD3"	0.173980574319188	0.163493464291657
"193"	"SELE"	-1.79973551756573	1.87264304625964e-05
"194"	"DNAJC11"	0.380128467884551	4.49512435828529e-05
"195"	"FMO3"	-1.14982828083484	2.75700868728135e-08
"196"	"MYLIP"	-0.66991500975073	6.56130619213334e-08
"197"	"NOX1"	0.949301875216252	3.21306793177239e-07
"198"	"E2F2"	2.18574715757356	1.67953028398686e-16
"199"	"PSMB1"	0.208949644296712	0.0646626045192711
"200"	"SYN1"	0.248837925186091	0.258384993770786
"201"	"JARID2"	0.306581573137012	0.0152569474698822
"202"	"CDKL5"	-0.899310350695862	1.3855063964258e-08
"203"	"CAMK1G"	0.13781846832377	0.53015010211001
"204"	"CDK11A"	0.145464931882518	0.384830241322971
"205"	"NADK"	0.273022586383322	0.00737792258927959
"206"	"TFAP2B"	-0.124829606485318	0.805437451996904
"207"	"TFAP2D"	2.89814037809487	4.29098338449424e-10
"208"	"DLEC1"	-1.74111443416156	2.87108065700279e-06
