,logFC,AveExpr,t,P.Value,adj.P.Val,B
PYCR1,3.643576849,5.15650511,25.86500445,5.56E-50,8.57E-46,103.49227
SFXN1,1.663645971,4.616969203,22.27122769,1.06E-43,1.26E-40,89.0674439
ALDH18A1,1.714564588,6.043176593,21.20924727,1.01E-41,6.14E-39,84.48398522
PAICS,1.772336354,6.014957571,19.85542849,4.13E-39,1.41E-36,78.47152907
FAM83A,6.543013636,2.750676289,19.48489122,2.23E-38,6.02E-36,76.86860337
SRPK1,1.628585307,5.739017502,19.36372048,3.88E-38,1.03E-35,76.23345868
RASAL1,4.13175544,0.304016884,18.94635917,2.66E-37,6.11E-35,73.98810496
FERMT1,3.181647917,3.03669762,18.86587454,3.86E-37,8.38E-35,74.04493072
GOLM1,2.656721822,6.915902461,18.76486589,6.18E-37,1.29E-34,73.47283708
TUBB3,4.230900538,4.380492025,18.63055446,1.16E-36,2.32E-34,72.8904324
GPT2,2.697005953,4.058671088,18.28114091,5.98E-36,1.07E-33,71.27184111
ETV4,3.447468684,3.157834242,18.12509696,1.25E-35,2.08E-33,70.5843345
RCC1,2.09412207,4.618595912,17.85586196,4.51E-35,6.88E-33,69.2146548
PPAT,1.898012952,3.312198003,17.82911141,5.13E-35,7.67E-33,69.17622326
C16orf59,3.365641289,0.28697337,17.70916509,9.10E-35,1.31E-32,68.29835902
UBE2T,3.248107257,2.170122398,17.66814834,1.11E-34,1.54E-32,68.39536036
C9orf140,3.439281063,2.174709771,17.56608772,1.81E-34,2.43E-32,67.91007763
CSTF2,1.137282083,3.887956681,17.35400126,5.04E-34,6.26E-32,66.85889989
PAK1,1.265819418,5.90052449,17.27835094,7.27E-34,8.62E-32,66.38660353
TOP2A,3.860725381,4.638886032,17.23847336,8.82E-34,1.03E-31,66.24067345
PPP1R14B,1.929546912,5.424532693,17.21830218,9.73E-34,1.13E-31,66.10528445
PHKA1,1.713453375,3.737359798,17.19782749,1.07E-33,1.24E-31,66.11531079
PDIA4,1.751603192,8.016834806,17.17986652,1.17E-33,1.34E-31,65.95547398
E2F8,3.486002127,0.855725547,17.13044003,1.49E-33,1.64E-31,65.68071514
ATIC,1.300050489,6.027719451,17.0860109,1.85E-33,2.00E-31,65.44984472
IGSF9,3.681964592,2.684098759,17.07800879,1.93E-33,2.05E-31,65.58294267
KIF26B,3.33664288,2.764937245,17.04716464,2.24E-33,2.33E-31,65.43321684
LGR4,2.626505177,4.661107025,17.03272497,2.40E-33,2.45E-31,65.23785744
PSAT1,3.384274405,2.725155187,17.03170523,2.41E-33,2.45E-31,65.35851313
NME1,2.196895348,5.407941308,16.92201406,4.13E-33,4.05E-31,64.66043119
ERCC6L,3.062789379,0.52916158,16.8641997,5.48E-33,5.34E-31,64.34782299
DLGAP5,4.071737243,1.576200379,16.80810072,7.21E-33,6.94E-31,64.21997959
CDC20,3.897624366,2.691981159,16.71471333,1.14E-32,1.05E-30,63.81548159
IQGAP3,3.717915035,2.544649777,16.59799329,2.03E-32,1.81E-30,63.24484855
PAFAH1B3,2.018237696,4.060555009,16.58313816,2.18E-32,1.92E-30,63.08053281
OCIAD2,2.081114141,5.595545379,16.52871122,2.86E-32,2.47E-30,62.71925216
CDC25C,4.105522388,-0.398355915,16.49621134,3.35E-32,2.87E-30,62.3693881
KIF4A,4.22849444,1.805150754,16.46080135,4.00E-32,3.40E-30,62.54692974
KIF20A,3.552985615,2.267655566,16.46006971,4.01E-32,3.40E-30,62.56468685
CCNB1,2.831793148,3.733725491,16.37769893,6.03E-32,5.00E-30,62.09647542
BUB1B,3.6977361,1.740711378,16.37252974,6.19E-32,5.10E-30,62.11021999
PLEKHN1,3.311283805,0.576284473,16.37081936,6.24E-32,5.12E-30,61.97213713
CDC6,3.307536226,2.30877056,16.30690005,8.57E-32,6.78E-30,61.81219349
HMMR,3.37012976,1.976005109,16.27903668,9.85E-32,7.67E-30,61.66427136
PLK1,3.37476699,2.64464093,16.24200709,1.18E-31,9.08E-30,61.49183712
EFNA3,2.578083376,1.471462365,16.22066047,1.32E-31,1.00E-29,61.34487578
GINS2,2.814262233,1.771163354,16.20524827,1.42E-31,1.07E-29,61.29003099
ADM2,3.297245577,2.030828042,16.19060247,1.53E-31,1.14E-29,61.23074473
MDK,2.6303144,6.50451605,16.13850001,1.98E-31,1.45E-29,60.77736577
NUF2,3.899976319,1.084556789,16.08683099,2.57E-31,1.84E-29,60.65135218
C2orf29,0.947320535,5.623565659,16.05191573,3.06E-31,2.16E-29,60.34650154
CDCA8,3.100353359,2.52870401,16.01638199,3.65E-31,2.55E-29,60.37482391
NLN,1.740294712,3.74151661,16.01163738,3.74E-31,2.60E-29,60.27497608
UHRF1,3.529776178,1.916522718,16.0007572,3.95E-31,2.73E-29,60.28724598
MMP11,5.55452462,3.410555466,15.98850781,4.20E-31,2.89E-29,60.19052906
SGPL1,1.012551433,6.38478567,15.92093507,5.89E-31,3.98E-29,59.68581897
EXO1,3.683554554,0.888838857,15.91896401,5.95E-31,4.00E-29,59.80248239
TMEM184A,2.589853698,3.604968593,15.82898176,9.35E-31,6.08E-29,59.37407528
HMGB3,2.88258084,6.053650412,15.80461521,1.06E-30,6.81E-29,59.09888886
C16orf88,1.273195558,3.539690305,15.78736382,1.15E-30,7.31E-29,59.17161244
SLC25A10,1.887328709,4.169371749,15.77523757,1.23E-30,7.74E-29,59.04625814
SPAG4,2.829102266,1.489452887,15.76602019,1.28E-30,8.04E-29,59.09886656
SLC2A1,3.350278101,5.51331024,15.75266274,1.37E-30,8.53E-29,58.84690419
HJURP,3.681207068,1.538447017,15.73501116,1.50E-30,9.25E-29,58.9477153
GINS1,2.765793334,2.13291862,15.7195822,1.62E-30,9.92E-29,58.89474119
KIF2C,3.802080026,2.123809502,15.69163407,1.87E-30,1.13E-28,58.75492658
DEPDC1B,3.728899549,0.708816818,15.6837197,1.94E-30,1.17E-28,58.61725704
MSTO1,1.402766422,4.516140253,15.67563842,2.02E-30,1.22E-28,58.51319628
ANLN,3.735746332,3.245297548,15.65365293,2.26E-30,1.35E-28,58.52616952
STIL,2.547876469,2.22083105,15.61999795,2.68E-30,1.59E-28,58.39753681
STX1A,2.907544116,2.14018683,15.61863876,2.70E-30,1.59E-28,58.38994804
DEPDC1,3.758708192,1.22498455,15.61594855,2.74E-30,1.61E-28,58.33312893
NEK2,3.733988072,1.681023588,15.60741356,2.86E-30,1.67E-28,58.31927336
GPRIN1,2.716000886,2.064734261,15.50610984,4.77E-30,2.72E-28,57.82464156
RALGPS2,1.896904048,3.857650212,15.47773248,5.51E-30,3.11E-28,57.57799598
KIAA0101,2.845520951,2.18903256,15.46996974,5.73E-30,3.22E-28,57.64443418
SPAG5,3.017049719,3.084193157,15.44287401,6.57E-30,3.67E-28,57.47619307
TPX2,3.623250919,3.65177473,15.4163643,7.52E-30,4.17E-28,57.28939547
RECQL4,2.808254516,2.303064594,15.34516691,1.08E-29,5.86E-28,57.01570726
C1orf112,1.762023388,2.245761848,15.33595336,1.13E-29,6.10E-28,56.96958763
EPCAM,1.422171385,8.001110112,15.32978901,1.17E-29,6.22E-28,56.75070321
CDCA3,3.102563448,1.099550106,15.31699733,1.25E-29,6.53E-28,56.82910367
MYBL2,4.119602485,3.068454826,15.28152971,1.49E-29,7.77E-28,56.66077936
SKA3,3.237458721,0.769766033,15.27578493,1.54E-29,7.97E-28,56.59200182
KIF11,2.825369515,3.207145279,15.27308311,1.56E-29,8.06E-28,56.60660759
B3GNT3,4.224674061,2.821033388,15.25295534,1.73E-29,8.90E-28,56.53241389
DKC1,1.115863015,5.6902888,15.21277315,2.12E-29,1.08E-27,56.10434906
BIRC5,3.940558751,1.730799574,15.19237644,2.35E-29,1.19E-27,56.23712743
KIF14,3.724310357,0.940162452,15.16220156,2.74E-29,1.38E-27,56.03863019
CENPF,3.289600284,3.789356082,15.1536566,2.86E-29,1.44E-27,55.93944531
IRAK1,1.204883841,6.863679702,15.13321039,3.18E-29,1.58E-27,55.70810385
TFR2,2.790227499,-0.591497709,15.11863902,3.43E-29,1.70E-27,55.58835396
MELK,3.886744438,1.512872914,15.09140922,3.94E-29,1.93E-27,55.71882667
C16orf75,2.16107987,2.534181951,15.08274401,4.12E-29,2.00E-27,55.68188068
CCNB2,3.239707149,2.278215437,15.06572248,4.49E-29,2.18E-27,55.60178164
ZNF643,1.725599222,0.30828473,15.00461749,6.14E-29,2.95E-27,55.17614653
CDC45,3.7897592,0.73846003,15.00368691,6.17E-29,2.95E-27,55.22196469
TMEM182,1.531973719,2.195521061,14.98304452,6.86E-29,3.25E-27,55.18270369
MEX3A,3.679619177,2.469511004,14.97303841,7.22E-29,3.39E-27,55.12607044
SGOL1,3.378487956,-0.237436199,14.96469991,7.53E-29,3.52E-27,54.89019149
F12,2.942409493,0.37295667,14.954879,7.92E-29,3.69E-27,54.93463827
ASPM,3.495751903,2.184999544,14.95260625,8.02E-29,3.72E-27,55.02800617
EFNA4,2.081968965,3.159811542,14.94956075,8.14E-29,3.77E-27,54.96336617
HSPD1,1.200516583,7.79648209,14.94659927,8.27E-29,3.81E-27,54.78615271
COL10A1,5.085427907,2.871694902,14.92753648,9.12E-29,4.17E-27,54.87367446
NCAPH,3.161294175,1.853372456,14.91924389,9.51E-29,4.34E-27,54.85694339
ABCA12,5.708693162,-0.460293347,14.90915463,1.00E-28,4.54E-27,54.57068762
C1orf74,1.45922133,1.612834964,14.90882479,1.00E-28,4.54E-27,54.79799066
CCT3,1.360451856,7.728830393,14.89066337,1.10E-28,4.95E-27,54.49658662
RAD54L,3.289354297,0.626413059,14.88804884,1.12E-28,5.00E-27,54.62731997
WDR12,1.274712882,3.84063662,14.84731068,1.38E-28,6.13E-27,54.36664605
ZWINT,2.487092767,3.364494832,14.83843337,1.44E-28,6.38E-27,54.37465656
SERINC2,1.930935387,6.453250781,14.83781795,1.45E-28,6.38E-27,54.18194954
EPR1,3.413691187,2.354722442,14.83740463,1.45E-28,6.38E-27,54.43797791
HELLS,2.79756119,1.066907823,14.81727545,1.61E-28,7.05E-27,54.3068293
UBE2C,3.818927904,2.505335318,14.79563349,1.80E-28,7.86E-27,54.21956619
PLEK2,2.700406778,2.686886434,14.78295991,1.92E-28,8.34E-27,54.14599996
FGF11,3.305407049,1.08352497,14.75876451,2.17E-28,9.33E-27,54.01099191
NCAPG,3.315304001,2.183333597,14.71324163,2.75E-28,1.17E-26,53.8071629
CKAP2L,3.21879017,1.145598985,14.69195318,3.06E-28,1.29E-26,53.67513449
MRPL3,1.088497104,6.029786013,14.6733241,3.37E-28,1.40E-26,53.33076488
XDH,3.99415366,1.69139146,14.66939949,3.44E-28,1.43E-26,53.58123559
CHAF1B,2.012777473,2.323314683,14.66495456,3.52E-28,1.46E-26,53.55699914
ORC6L,2.874270361,0.88062057,14.646286,3.88E-28,1.58E-26,53.42532987
CENPA,3.487974868,0.381450253,14.60648713,4.76E-28,1.92E-26,53.17581277
SLC35F2,1.943664282,4.494619252,14.59435727,5.07E-28,2.02E-26,52.99391389
XPR1,1.560323635,6.334083664,14.59116177,5.16E-28,2.05E-26,52.90776742
RRM2,3.215352918,3.811046234,14.5908849,5.16E-28,2.05E-26,53.05055194
MND1,3.558056474,-0.788094438,14.59056066,5.17E-28,2.05E-26,52.90797398
EZH2,2.501512569,2.574285809,14.57670977,5.56E-28,2.19E-26,53.09428259
NARF,1.083774513,5.373391686,14.55720747,6.14E-28,2.40E-26,52.74612895
AURKB,3.468798098,1.18139801,14.54597395,6.51E-28,2.53E-26,52.93310384
PDCD2L,1.449372334,2.606208828,14.54267698,6.62E-28,2.56E-26,52.91764097
NEIL3,3.699371455,-0.673055911,14.52438005,7.28E-28,2.78E-26,52.59805287
CCNE1,3.134773024,1.018189241,14.50434175,8.08E-28,3.06E-26,52.71156785
TK1,2.547979523,4.315926875,14.49967965,8.28E-28,3.12E-26,52.52150514
CEP55,3.21131937,2.548465854,14.49940851,8.29E-28,3.12E-26,52.69809637
NUSAP1,2.528300656,3.341816291,14.44114652,1.12E-27,4.15E-26,52.33205424
CRABP2,4.855734801,3.964049067,14.42846809,1.20E-27,4.41E-26,52.19253584
CDCA5,2.852224851,2.751197594,14.40500473,1.35E-27,4.95E-26,52.19934324
MANF,1.327481871,5.725585954,14.40350028,1.36E-27,4.98E-26,51.93847246
C9orf100,2.111582829,1.50419611,14.40208459,1.37E-27,5.00E-26,52.20885579
C1orf107,1.032930295,4.64919983,14.38938504,1.47E-27,5.33E-26,51.91960562
TTK,3.502003031,1.075112109,14.38307996,1.51E-27,5.49E-26,52.09489952
EIF2AK1,0.949402954,7.468079484,14.37742165,1.56E-27,5.64E-26,51.83679621
CCNA2,2.841638932,2.72226554,14.32989997,2.00E-27,7.14E-26,51.81347843
TMEM177,1.492194825,2.582837959,14.31376385,2.17E-27,7.73E-26,51.73896129
PGM2L1,1.951791075,4.547260432,14.29911691,2.34E-27,8.30E-26,51.45945469
CTHRC1,3.943316591,3.84676419,14.29331897,2.41E-27,8.52E-26,51.50612125
KIF18B,3.481232729,1.19332208,14.28676319,2.50E-27,8.77E-26,51.60671261
GALNT7,1.684215657,5.545375519,14.28619395,2.51E-27,8.78E-26,51.33393787
PRC1,2.445237939,3.667131939,14.27936832,2.60E-27,9.07E-26,51.45583178
DBNDD1,1.927418139,4.002348315,14.26923345,2.74E-27,9.52E-26,51.3619212
FAM111B,2.716797078,2.007065974,14.26617269,2.78E-27,9.65E-26,51.51352519
ECE2,1.977811403,2.464829887,14.26411719,2.81E-27,9.73E-26,51.48874777
TRAP1,1.000601271,5.837242396,14.25296992,2.98E-27,1.02E-25,51.15383394
GNPNAT1,1.402955262,5.135042391,14.20815004,3.76E-27,1.27E-25,50.94521513
B4GALT2,1.188223127,5.271221218,14.19934441,3.94E-27,1.33E-25,50.89258209
ATP10B,4.993520266,0.064067369,14.19894473,3.95E-27,1.33E-25,51.06442431
TROAP,3.520117123,1.019562367,14.17524393,4.47E-27,1.50E-25,51.02587118
FANCI,2.01777217,3.850433939,14.17272007,4.52E-27,1.51E-25,50.87884858
NDC80,3.252312254,1.332114796,14.16903727,4.61E-27,1.54E-25,51.00635216
MAD2L1,2.503811232,2.671720565,14.14307812,5.28E-27,1.75E-25,50.84975941
GJB2,4.123128372,2.376337279,14.12816189,5.71E-27,1.88E-25,50.78939494
STK39,1.399729567,5.006558629,14.11455358,6.13E-27,2.01E-25,50.4646037
DONSON,1.58497006,2.820306997,14.06796851,7.82E-27,2.52E-25,50.44854797
GTSE1,3.18986017,1.403962295,14.06136976,8.09E-27,2.60E-25,50.45305998
ORC1L,2.971854549,0.987907736,14.0609477,8.11E-27,2.60E-25,50.43617516
SLC25A39,1.123546915,6.769899516,14.05658673,8.29E-27,2.66E-25,50.14014439
MCM4,2.093557795,4.937620489,14.02299239,9.89E-27,3.15E-25,49.99077339
C1orf170,2.51538929,-0.293988008,14.01975239,1.01E-26,3.20E-25,50.10158115
PLEKHA8,1.403054897,1.91459938,14.006002,1.08E-26,3.43E-25,50.16967449
C20orf20,1.028215223,3.914540633,13.98950346,1.18E-26,3.71E-25,49.91562686
XRCC2,2.742521189,0.102401645,13.98685796,1.19E-26,3.75E-25,49.98383177
ASF1B,2.332988612,2.897942912,13.95038336,1.45E-26,4.47E-25,49.82994733
SRD5A1,1.787352827,3.435376565,13.94319703,1.50E-26,4.62E-25,49.73432925
MCM10,3.522795246,0.775046364,13.88595194,2.03E-26,6.15E-25,49.52221449
TFB2M,1.187245675,4.016783027,13.86797589,2.23E-26,6.71E-25,49.26726218
FBXO32,2.367857589,3.440188272,13.84073566,2.57E-26,7.71E-25,49.1983002
MKI67,3.033615461,4.536471636,13.79988056,3.18E-26,9.47E-25,48.85345289
UBFD1,0.935314082,5.794390302,13.79311844,3.30E-26,9.79E-25,48.75035557
TMPRSS4,4.934331895,3.466541022,13.79120334,3.33E-26,9.87E-25,48.93578905
PKMYT1,3.073288067,1.558725414,13.76562227,3.81E-26,1.12E-24,48.92333648
MYO19,1.397995658,4.490098734,13.76108204,3.90E-26,1.14E-24,48.6541717
ECT2,2.050500224,4.521448872,13.75800042,3.96E-26,1.16E-24,48.63504383
FOXM1,3.131526523,3.280270551,13.74727522,4.19E-26,1.22E-24,48.72859328
GORASP2,0.82975422,6.94627136,13.74694664,4.20E-26,1.22E-24,48.52403362
GART,0.945117709,5.675119897,13.71627422,4.94E-26,1.42E-24,48.34936039
FAM136A,1.073429402,4.976684764,13.71543991,4.96E-26,1.42E-24,48.37625542
HEATR1,1.040906794,5.269942106,13.70035531,5.37E-26,1.53E-24,48.28068479
C17orf53,2.4367196,0.883654019,13.69910111,5.40E-26,1.54E-24,48.56125858
KIF23,2.630042451,2.539411352,13.69829994,5.43E-26,1.54E-24,48.54293961
CDT1,2.717377813,2.242633268,13.6783841,6.03E-26,1.70E-24,48.45588279
IPO4,1.222253794,5.210836462,13.64777028,7.08E-26,1.99E-24,48.006958
PUS7,1.306122471,3.874524768,13.64499752,7.18E-26,2.01E-24,48.11592793
SPATS2,1.141178614,4.423636883,13.64260863,7.27E-26,2.03E-24,48.03809378
BRIP1,2.779664875,0.554380496,13.6388044,7.42E-26,2.07E-24,48.23026813
EPN3,3.351572367,2.163062475,13.62751253,7.88E-26,2.19E-24,48.193609
PRDX4,1.542392559,6.230248241,13.61774985,8.29E-26,2.29E-24,47.82544047
ST14,1.429937151,7.478116317,13.61315544,8.49E-26,2.34E-24,47.84096472
MYO7A,2.091428288,2.621558527,13.59387076,9.40E-26,2.57E-24,47.99049362
AGMAT,2.964887204,-0.279768879,13.58620909,9.79E-26,2.67E-24,47.8786222
SLC25A13,1.087876217,4.671064341,13.56568732,1.09E-25,2.95E-24,47.61044961
ESCO2,2.66200296,0.658423163,13.53386412,1.29E-25,3.45E-24,47.69240921
TYMS,2.147901243,3.655710553,13.53274577,1.30E-25,3.47E-24,47.55450901
SLC5A6,1.131338944,4.517807283,13.51350229,1.44E-25,3.83E-24,47.34902553
NFKBIL2,2.038198198,2.770273674,13.50285335,1.52E-25,4.04E-24,47.50070358
FLAD1,1.324334063,5.023909159,13.49280339,1.60E-25,4.25E-24,47.20084302
FEN1,1.5210863,4.315447215,13.46216814,1.88E-25,4.96E-24,47.09895502
SMYD5,0.843301375,4.704582478,13.45994928,1.91E-25,5.01E-24,47.05012133
SPTBN2,2.453346363,4.142721058,13.45972591,1.91E-25,5.01E-24,47.10617415
HMGA1,2.108830871,6.524345522,13.45549872,1.95E-25,5.10E-24,46.97493016
TIMM8A,1.253182624,2.146671635,13.44594456,2.05E-25,5.34E-24,47.24413874
CDCA2,3.022419638,0.65066219,13.43257718,2.20E-25,5.70E-24,47.1655178
SHMT2,1.306064971,5.881629498,13.40249459,2.58E-25,6.62E-24,46.69086487
WDR75,0.752388167,4.870717293,13.40012596,2.61E-25,6.69E-24,46.72161317
SAMD10,1.367694368,2.471900083,13.3989382,2.63E-25,6.72E-24,46.97890879
HN1L,1.053067521,6.847539338,13.39738376,2.65E-25,6.77E-24,46.67820472
RFWD3,1.029125273,4.919934353,13.3885983,2.78E-25,7.07E-24,46.65729689
P4HB,1.078723452,9.963931461,13.37544553,2.98E-25,7.56E-24,46.68677109
FAM64A,3.222112944,0.489853064,13.36420618,3.16E-25,8.00E-24,46.80047961
KAT2A,1.189967346,4.911669158,13.33456907,3.70E-25,9.30E-24,46.37218155
GPI,1.157164875,7.843692833,13.32532964,3.88E-25,9.75E-24,46.33656852
ZFP64,0.834008819,3.969318882,13.30235045,4.39E-25,1.10E-23,46.2973718
CBLC,3.05724987,2.098306288,13.29286683,4.61E-25,1.15E-23,46.44299142
PTTG1,2.21167966,3.103413094,13.28732003,4.75E-25,1.18E-23,46.33170402
TNFRSF21,1.916196329,6.616545989,13.25795686,5.55E-25,1.38E-23,45.93263812
CCDC99,1.32659039,2.848278523,13.25092629,5.76E-25,1.42E-23,46.16758649
EPHA10,3.347815468,1.120128432,13.23793871,6.17E-25,1.51E-23,46.16616403
KIFC1,2.510661058,2.908091175,13.23558248,6.25E-25,1.53E-23,46.08047312
RHBDL2,2.694408333,1.640041208,13.22583528,6.58E-25,1.61E-23,46.10382373
WDR46,0.831081014,5.258397513,13.21136182,7.10E-25,1.73E-23,45.69932583
MANEAL,1.834105116,3.650017111,13.19371141,7.80E-25,1.90E-23,45.76609336
SC65,1.824740146,4.089114272,13.18351872,8.23E-25,1.99E-23,45.65285298
AURKA,2.378593469,2.992779718,13.15006495,9.83E-25,2.37E-23,45.61965447
MSL3L2,2.221876333,1.747199005,13.14932946,9.87E-25,2.37E-23,45.70007249
ERO1L,2.045297411,6.007074128,13.14500973,1.01E-24,2.42E-23,45.32563414
OBFC2B,0.971860468,4.648408919,13.1316389,1.08E-24,2.59E-23,45.31745037
PTPRH,4.891418587,0.189851541,13.1248336,1.12E-24,2.67E-23,45.53298907
EPRS,0.972610113,7.051822612,13.12204449,1.14E-24,2.71E-23,45.22745684
PVT1,2.099054008,0.962842668,13.10797497,1.23E-24,2.91E-23,45.48233452
DCAF13,1.251447864,5.058122714,13.10587578,1.24E-24,2.94E-23,45.1507343
KCNN4,3.288937048,3.734211257,13.09697761,1.30E-24,3.08E-23,45.2421724
NPM3,1.59830146,3.496632014,13.08274473,1.41E-24,3.30E-23,45.19957579
PPAP2C,2.718617231,4.819879765,13.07760656,1.45E-24,3.38E-23,45.01678297
BUB1,2.745575649,2.775843671,13.07268161,1.48E-24,3.46E-23,45.23361986
PRPS2,0.888042798,5.444018622,13.07186555,1.49E-24,3.47E-23,44.95073845
SKA1,2.950571304,0.682356118,13.07086699,1.50E-24,3.48E-23,45.27914064
GAPDH,1.58943185,10.42858012,13.05348246,1.64E-24,3.80E-23,45.0001448
KIF15,3.030413424,0.915866549,13.0317293,1.84E-24,4.25E-23,45.08144896
INTS8,0.940506784,4.794285809,13.01493899,2.02E-24,4.62E-23,44.68578353
PBK,3.427122734,1.020697828,13.01414784,2.02E-24,4.64E-23,44.99131039
SHCBP1,2.41602413,2.07962409,13.0045093,2.13E-24,4.87E-23,44.92545043
DNAH14,1.752237011,1.283930037,13.00163004,2.16E-24,4.94E-23,44.9279347
RAB26,2.971791871,-1.036821639,12.99260849,2.27E-24,5.18E-23,44.70722559
SPC25,2.919987036,0.399214279,12.98521459,2.36E-24,5.38E-23,44.81721938
PPME1,0.813862868,5.583789152,12.97354996,2.51E-24,5.70E-23,44.42296455
ENO1,1.270545862,10.32067355,12.96223507,2.67E-24,6.03E-23,44.51166025
LYPD1,3.424445901,1.393248319,12.9406834,2.99E-24,6.74E-23,44.60698918
CCT5,1.223338718,7.515359729,12.93366638,3.11E-24,6.98E-23,44.24490372
SLC39A11,1.349043126,5.2039356,12.92777004,3.21E-24,7.19E-23,44.19554537
CENPE,2.653333153,1.878900503,12.92731806,3.21E-24,7.20E-23,44.52661446
PROM2,2.435542262,4.926510492,12.88052238,4.13E-24,9.15E-23,43.96093197
C1orf131,0.915843577,3.215920521,12.8733303,4.29E-24,9.48E-23,44.12633385
VARS,1.20499892,6.403413464,12.86475377,4.49E-24,9.89E-23,43.83775997
EME1,2.372684624,0.212899424,12.86037511,4.59E-24,1.01E-22,44.15243126
KPNA2,1.942071559,5.75702034,12.85575445,4.71E-24,1.03E-22,43.79088573
FHL2,2.629286654,4.773950357,12.84391019,5.01E-24,1.10E-22,43.77716943
BLM,2.167482899,1.641380534,12.81638526,5.81E-24,1.26E-22,43.94788843
NOL11,0.807851982,5.349689125,12.81255654,5.93E-24,1.28E-22,43.57453486
GMPPA,0.902442481,5.004361146,12.8069531,6.11E-24,1.32E-22,43.56364699
CCNF,1.801664332,3.023038469,12.73737355,8.85E-24,1.86E-22,43.42815514
ESPL1,3.114462888,1.564469148,12.73047696,9.19E-24,1.93E-22,43.49560922
FANCA,1.822353305,3.037827376,12.71023244,1.02E-23,2.14E-22,43.2819863
PDIA6,1.015982741,8.349968983,12.70568564,1.05E-23,2.18E-22,43.06498651
CYP24A1,5.612033818,1.413197674,12.6969181,1.10E-23,2.28E-22,43.32072899
MCM2,1.892528678,4.692263311,12.69466849,1.11E-23,2.30E-22,42.9878766
CENPL,1.451723072,2.44832911,12.68115175,1.20E-23,2.46E-22,43.18880776
CNP,0.778245257,6.481435094,12.67740405,1.22E-23,2.50E-22,42.8398188
MLF1IP,2.101756696,2.850833872,12.6548561,1.38E-23,2.79E-22,43.00942966
FUT2,2.90108826,2.478316286,12.65347756,1.39E-23,2.81E-22,43.03924887
CHEK1,2.025765726,2.302614836,12.63971445,1.49E-23,3.01E-22,42.98029417
CPSF3,0.825079085,5.109718382,12.63123247,1.56E-23,3.15E-22,42.61902981
ALG8,0.936524701,4.829187756,12.62197005,1.64E-23,3.29E-22,42.58849041
ACTL6A,1.006096171,5.358258738,12.61620809,1.69E-23,3.38E-22,42.52576189
RAD51,2.241380153,1.219549989,12.61090056,1.74E-23,3.47E-22,42.86772219
SPP1,4.906385187,5.72816697,12.60647786,1.78E-23,3.55E-22,42.46073582
POLQ,2.920115634,0.334232417,12.60617554,1.79E-23,3.55E-22,42.82466204
C12orf32,0.957089613,4.626513468,12.59479659,1.90E-23,3.76E-22,42.46017939
GRHL3,3.774152291,-1.146818152,12.58301302,2.02E-23,4.00E-22,42.56439842
GPR172A,1.318647262,5.690633769,12.58090184,2.04E-23,4.04E-22,42.32492203
CASC5,2.763175587,1.047425581,12.55678226,2.33E-23,4.57E-22,42.58177893
HNF4G,3.495866801,0.63780336,12.55634628,2.33E-23,4.57E-22,42.57343151
MARCKSL1,1.98034615,6.659878334,12.54746966,2.45E-23,4.78E-22,42.15024797
SYNJ2,1.817344806,3.773328901,12.54717482,2.45E-23,4.78E-22,42.31062688
TIMELESS,1.562889782,4.548219456,12.54400834,2.49E-23,4.85E-22,42.19599585
SLC35B2,0.906585798,6.037462,12.54205105,2.52E-23,4.89E-22,42.11135438
PITX1,4.792003785,0.473169917,12.53896423,2.56E-23,4.95E-22,42.47654246
DARS2,1.205996485,4.46133102,12.5323366,2.65E-23,5.11E-22,42.14233448
SLC35B1,0.797144261,5.560985455,12.52116353,2.81E-23,5.41E-22,42.00922194
CDKN3,3.052477113,0.964072222,12.5141795,2.92E-23,5.60E-22,42.35615084
RBM28,1.081944666,3.908241297,12.49780199,3.19E-23,6.08E-22,42.02737671
C11orf24,1.024927054,5.203112246,12.49659642,3.21E-23,6.11E-22,41.89352205
NCAPG2,1.754919419,3.94868046,12.47383008,3.63E-23,6.88E-22,41.89344121
HN1,1.542857455,6.297640317,12.47253794,3.65E-23,6.92E-22,41.74029555
POLE2,2.551621735,0.190253912,12.46759984,3.75E-23,7.10E-22,42.08798907
SNAP47,0.677978221,4.861867455,12.45855224,3.94E-23,7.43E-22,41.71176494
SFXN4,1.240365988,3.758593585,12.44874149,4.15E-23,7.82E-22,41.78662959
RUSC1,1.045254861,5.185621915,12.44632897,4.20E-23,7.91E-22,41.62527175
MCM6,1.464770305,5.06611264,12.44216749,4.30E-23,8.08E-22,41.61002003
CLSPN,3.105644655,0.876943846,12.43554175,4.45E-23,8.36E-22,41.93956558
PRMT3,0.885229039,3.605310241,12.41379121,5.01E-23,9.35E-22,41.6221529
HIST1H2BD,2.078677896,2.796071399,12.40239555,5.32E-23,9.92E-22,41.67034992
GINS4,2.349984356,1.812505282,12.39810741,5.44E-23,1.01E-21,41.72555814
CST1,6.229612792,-0.682635257,12.3930693,5.59E-23,1.04E-21,41.62860387
C15orf42,2.557585616,0.567256624,12.3778363,6.07E-23,1.12E-21,41.62901059
LDHA,1.395430975,9.124326045,12.37148719,6.28E-23,1.16E-21,41.31127215
PFKP,2.020899751,6.061919291,12.36147463,6.63E-23,1.22E-21,41.14375063
HSP90B1,0.827152633,9.556624056,12.36004916,6.68E-23,1.23E-21,41.26824059
