Gene_Symbol	Gene_ID	Median_Tumor	Median_Normal	log2FC	FDR
ATP11B	ENSG00000058063.15	11.95	14.78	-0.285	4.21E-07
ATP11C	ENSG00000101974.14	6.19	7.2	-0.19	4.49E-05
ATP12A	ENSG00000075673.11	0.12	0.08	0.052	6.41E-02
ATP13A1	ENSG00000105726.16	32.719	43.269	-0.393	3.36E-11
ATP13A2	ENSG00000159363.17	27.899	25.34	0.134	9.06E-05
ATP13A3	ENSG00000133657.14	27.029	33.411	-0.296	1.81E-11
ATP13A4	ENSG00000127249.14	8.85	38.759	-2.013	4.61E-60
ATP13A4-AS1	ENSG00000225473.1	0.2	2.28	-1.451	7.07E-25
ATP13A5	ENSG00000187527.10	0.14	0.6	-0.489	1.85E-20
ATP1A1	ENSG00000163399.15	300.037	338.637	-0.174	1.78E-01
ATP1A1-AS1	ENSG00000203865.9	1.95	4.23	-0.826	1.23E-70
ATP1A2	ENSG00000018625.14	0.35	5.44	-2.254	2.18E-201
ATP1A3	ENSG00000105409.15	0.47	0.26	0.222	5.12E-17
ATP1A4	ENSG00000132681.16	0.1	0.15	-0.064	6.07E-03
ATP1B1	ENSG00000143153.12	241.486	58.338	2.031	6.58E-121
ATP1B1P1	ENSG00000249212.1	0.05	0.12	-0.093	2.58E-30
ATP1B2	ENSG00000129244.8	0.65	2.81	-1.207	2.28E-107
ATP1B3	ENSG00000069849.10	74.532	163.618	-1.124	1.62E-83
ATP1B3-AS1	ENSG00000244124.1	0.15	1.31	-1.006	1.83E-90
ATP2A1	ENSG00000196296.13	0.54	1.18	-0.501	8.21E-16
ATP2A1-AS1	ENSG00000260442.5	1.06	0.37	0.588	1.50E-62
ATP2A2	ENSG00000174437.16	115.263	75.74	0.599	4.70E-27
ATP2A3	ENSG00000074370.17	19.92	35.73	-0.812	6.16E-21
ATP2B1	ENSG00000070961.14	9.17	14.51	-0.609	2.61E-20
ATP2B2	ENSG00000157087.16	0.02	0.05	-0.042	2.91E-02
ATP2B3	ENSG00000067842.17	0.01	0.04	-0.042	5.14E-09
ATP2B4	ENSG00000058668.14	30.181	54.7	-0.837	1.05E-48
ATP2C1	ENSG00000017260.19	49.821	53.441	-0.099	8.45E-02
ATP2C2	ENSG00000064270.12	13.3	19.12	-0.493	2.58E-05
ATP5A1	ENSG00000152234.15	222.736	224.503	-0.011	3.00E-02
ATP5A1P3	ENSG00000263232.2	0.03	0.11	-0.108	1.77E-44
ATP5B	ENSG00000110955.8	337.77	346.424	-0.036	3.61E-01
ATP5C1	ENSG00000165629.19	180.655	143.707	0.328	1.38E-26
ATP5E	ENSG00000124172.9	79.992	70.511	0.18	3.66E-11
ATP5EP2	ENSG00000180389.6	1.99	1.79	0.1	4.83E-03
ATP5F1	ENSG00000116459.10	196.774	143.817	0.45	3.51E-36
ATP5F1P5	ENSG00000254944.1	0.32	0.6	-0.278	2.09E-17
ATP5G1	ENSG00000159199.13	145.209	89.393	0.694	3.08E-59
ATP5G1P4	ENSG00000227440.1	0.56	0.38	0.177	3.88E-03
ATP5G2	ENSG00000135390.17	523.011	348.326	0.585	1.05E-63
ATP5G3	ENSG00000154518.9	213.767	153.979	0.471	1.34E-40
ATP5H	ENSG00000167863.11	309.05	206.456	0.58	1.44E-62
ATP5HP4	ENSG00000234925.2	0.26	1.17	-0.784	1.93E-86
ATP5I	ENSG00000169020.9	347.989	292.379	0.25	1.23E-18
ATP5J	ENSG00000154723.12	150.351	124.292	0.273	1.55E-22
ATP5J2	ENSG00000241468.7	520.84	295.25	0.817	1.47E-87
ATP5J2-PTCD1	ENSG00000248919.7	4.55	2.17	0.808	6.50E-77
ATP5L	ENSG00000167283.7	365.948	195.238	0.903	1.45E-97
ATP5O	ENSG00000241837.6	161.042	148.786	0.113	7.97E-08
ATP5S	ENSG00000125375.14	9.97	10.1	-0.017	1.39E-02
ATP5SL	ENSG00000105341.18	30.909	40.85	-0.391	4.66E-22
ATP6AP1L	ENSG00000205464.11	2.26	3.17	-0.355	1.05E-14
ATP6AP2	ENSG00000182220.13	100.398	83.998	0.255	2.77E-17
ATP6V0A1	ENSG00000033627.14	29.699	52.53	-0.802	3.06E-64
ATP6V0A2	ENSG00000185344.13	7.09	10.59	-0.519	7.79E-33
ATP6V0A4	ENSG00000105929.15	0.89	0.25	0.596	1.02E-37
ATP6V0B	ENSG00000117410.13	165.523	155.804	0.087	2.37E-05
ATP6V0C	ENSG00000185883.10	181.584	248.516	-0.451	6.11E-21
ATP6V0CP3	ENSG00000213435.3	0.05	0.4	-0.415	1.04E-63
ATP6V0D1	ENSG00000159720.11	86.521	110.338	-0.347	1.97E-09
ATP6V0E2	ENSG00000171130.17	27.58	15.89	0.759	3.13E-45
ATP6V1A	ENSG00000114573.9	22.899	18.68	0.28	1.24E-20
ATP6V1B1-AS1	ENSG00000239322.1	0.05	0.04	0.014	6.12E-07
ATP6V1B2	ENSG00000147416.10	46.529	90.233	-0.941	2.25E-88
ATP6V1C1	ENSG00000155097.11	29.009	19.5	0.55	1.78E-33
ATP6V1C2	ENSG00000143882.9	2.26	2.31	-0.022	1.65E-07
ATP6V1D	ENSG00000100554.11	68.969	46.921	0.546	5.17E-42
ATP6V1E1	ENSG00000131100.12	103.917	131.68	-0.339	2.11E-15
ATP6V1E2	ENSG00000250565.6	5.23	3.4	0.502	2.90E-46
ATP6V1F	ENSG00000128524.4	206.085	167.822	0.295	6.50E-22
ATP6V1G1	ENSG00000136888.6	132.119	100.127	0.397	9.86E-36
ATP6V1G2	ENSG00000213760.10	0.51	1.3	-0.607	2.21E-62
ATP6V1G2-DDX39B	ENSG00000254870.5	2.09	4.21	-0.754	8.82E-19
ATP6V1H	ENSG00000047249.16	38.21	37.4	0.03	8.41E-05
ATP7A	ENSG00000165240.17	3.18	3.02	0.056	3.38E-02
ATP7B	ENSG00000123191.13	1.38	2.17	-0.414	6.00E-08
ATP8A1	ENSG00000124406.16	7.62	15.47	-0.934	1.25E-38
ATP8A2	ENSG00000132932.16	0.27	0.61	-0.342	6.21E-07
ATP8A2P2	ENSG00000229800.1	0.01	0.06	-0.07	4.05E-47
ATP8B1	ENSG00000081923.10	11.78	8.48	0.431	3.34E-15
ATP8B2	ENSG00000143515.16	10.63	25.029	-1.162	5.71E-66
ATP8B3	ENSG00000130270.16	0.97	1.52	-0.355	2.06E-03
ATP8B4	ENSG00000104043.14	1.29	2.59	-0.649	3.61E-53
ATP8B5P	ENSG00000179766.17	0.15	0.62	-0.494	4.45E-55
ATP9A	ENSG00000054793.13	14.27	7.69	0.813	4.19E-40
ATP9B	ENSG00000166377.19	10.99	16.62	-0.555	3.90E-35
ATPAF1	ENSG00000123472.12	32.981	24.2	0.431	2.58E-49
ATPAF2	ENSG00000171953.15	18.16	17.37	0.061	9.35E-03
ATPIF1	ENSG00000130770.17	197.731	132.743	0.571	1.15E-44
ATR	ENSG00000175054.14	7.5	10.33	-0.415	7.12E-17
ATRAID	ENSG00000138085.16	160.429	117.124	0.451	3.39E-51
ATRIP	ENSG00000164053.17	4.23	4.47	-0.065	6.78E-02
ATRN	ENSG00000088812.17	12.86	9.36	0.42	2.52E-14
ATRX	ENSG00000085224.20	12.09	15.75	-0.356	1.08E-18
ATXN1	ENSG00000124788.17	8.44	11.62	-0.419	2.22E-36
ATXN10	ENSG00000130638.15	71.268	57.031	0.317	7.17E-24
ATXN1L	ENSG00000224470.7	7.47	10.83	-0.482	3.17E-33
ATXN2	ENSG00000204842.14	23.87	35.621	-0.558	1.69E-40
ATXN2L	ENSG00000168488.18	64.341	98.202	-0.602	1.41E-22
ATXN3	ENSG00000066427.21	10.51	13.45	-0.328	3.46E-21
ATXN7	ENSG00000163635.17	6.27	11.82	-0.818	5.64E-59
ATXN7L1	ENSG00000146776.14	3.46	4.56	-0.318	2.47E-21
ATXN7L2	ENSG00000162650.15	2.72	4.49	-0.562	2.88E-30
ATXN7L3	ENSG00000087152.15	29.209	28.789	0.02	1.49E-01
ATXN7L3B	ENSG00000253719.3	18.03	12.81	0.463	3.87E-32
AUH	ENSG00000148090.11	8.76	13.86	-0.607	8.22E-49
AUNIP	ENSG00000127423.10	1.22	0.31	0.761	5.53E-79
AUP1	ENSG00000115307.16	122.352	140.098	-0.194	1.93E-03
AURKA	ENSG00000087586.17	11.85	1.78	2.209	2.63E-145
AURKAIP1	ENSG00000175756.13	110.598	78.973	0.481	1.44E-37
AURKAPS1	ENSG00000213033.4	0.13	0.24	-0.134	1.61E-14
AURKB	ENSG00000178999.12	12.26	2.22	2.042	3.39E-96
AURKC	ENSG00000105146.12	0.79	1.79	-0.64	8.63E-59
AUTS2	ENSG00000158321.15	14.06	19.2	-0.424	1.59E-10
AVEN	ENSG00000169857.7	8.23	6.63	0.275	1.61E-09
AVIL	ENSG00000135407.10	3.04	6.59	-0.91	4.94E-21
AVL9	ENSG00000105778.17	17.701	10.93	0.648	1.12E-53
AVPI1	ENSG00000119986.6	14.76	24.71	-0.706	6.47E-14
AVPR1B	ENSG00000198049.6	0.01	0	0.014	3.38E-11
AVPR2	ENSG00000126895.13	0.27	1.07	-0.705	1.30E-50
AWAT2	ENSG00000147160.9	0.03	0.1	-0.095	7.35E-14
AXDND1	ENSG00000162779.20	0.13	0.14	-0.013	6.25E-03
AXIN1	ENSG00000103126.14	17.03	15.62	0.118	2.09E-02
AXIN2	ENSG00000168646.12	4.93	18.06	-1.684	2.58E-99
AXL	ENSG00000167601.11	12.24	24.45	-0.943	2.18E-49
AZGP1	ENSG00000160862.12	14.73	10.45	0.458	1.20E-05
AZI2	ENSG00000163512.13	28.41	48.589	-0.754	1.37E-81
AZIN1	ENSG00000155096.13	57.679	33.33	0.773	1.73E-51
AZIN1-AS1	ENSG00000253320.5	5.4	2.95	0.696	1.50E-34
AZIN2	ENSG00000142920.16	4.69	2.86	0.56	3.17E-23
AZU1	ENSG00000172232.9	0.19	3.99	-2.068	1.41E-94
B2M	ENSG00000166710.17	7419.467	8803.734	-0.247	1.80E-06
B3GALNT1	ENSG00000169255.13	5.01	12.45	-1.162	2.84E-56
B3GALNT2	ENSG00000162885.12	6.74	4.98	0.372	3.25E-12
B3GALT1	ENSG00000172318.5	0.02	0.1	-0.109	1.45E-16
B3GALT2	ENSG00000162630.5	0.34	1.08	-0.634	5.56E-12
B3GALT4	ENSG00000235863.3	10.89	10.34	0.068	3.62E-03
B3GALT5	ENSG00000183778.17	0.04	0.02	0.028	7.09E-08
B3GALT5-AS1	ENSG00000184809.12	0.03	0	0.043	5.00E-06
B3GALT6	ENSG00000176022.4	11.05	8.7	0.313	3.08E-25
B3GAT1	ENSG00000109956.12	0.42	0.79	-0.334	5.43E-02
B3GAT2	ENSG00000112309.10	0.18	0.94	-0.717	2.58E-112
B3GAT3	ENSG00000149541.9	34.649	34.999	-0.014	2.73E-01
B3GAT3P1	ENSG00000244009.1	0.06	0	0.084	5.41E-32
B3GNT3	ENSG00000179913.10	19.2	0.34	3.914	1.68E-220
B3GNT4	ENSG00000176383.8	1.27	0.77	0.359	5.84E-24
B3GNT6	ENSG00000198488.10	1.64	0.02	1.372	4.50E-67
B3GNT7	ENSG00000156966.6	20.5	17.21	0.24	1.14E-03
B3GNT8	ENSG00000177191.2	11.52	14.14	-0.274	4.41E-02
B3GNT9	ENSG00000237172.3	7.97	9.66	-0.249	5.95E-05
B3GNTL1	ENSG00000175711.8	7.13	7.47	-0.059	4.92E-01
B4GALNT1	ENSG00000135454.13	0.91	1.51	-0.394	2.70E-01
B4GALNT2	ENSG00000167080.8	0.16	0.05	0.144	1.37E-22
B4GALNT3	ENSG00000139044.10	15.38	8.38	0.804	2.43E-24
B4GALNT4	ENSG00000182272.11	3.51	0.72	1.391	7.58E-46
B4GALT1	ENSG00000086062.12	81.622	53.109	0.611	4.35E-32
B4GALT1-AS1	ENSG00000233554.5	0.95	1.56	-0.393	9.41E-30
B4GALT2	ENSG00000117411.16	37.699	20.73	0.833	1.78E-62
B4GALT3	ENSG00000158850.14	46.769	36.88	0.335	2.16E-16
B4GALT4	ENSG00000121578.12	14.92	12.58	0.229	3.67E-16
B4GALT5	ENSG00000158470.5	28.191	24.831	0.176	1.30E-02
B4GALT7	ENSG00000027847.13	23.6	18.63	0.326	4.75E-28
B4GAT1	ENSG00000174684.6	12.75	20	-0.611	1.43E-32
B9D1	ENSG00000108641.14	13.52	10.51	0.335	1.09E-09
B9D2	ENSG00000123810.7	7.77	7.46	0.052	3.09E-02
BAALC	ENSG00000164929.16	1.38	6.22	-1.601	3.74E-34
BAALC-AS1	ENSG00000247081.7	2.4	2.13	0.119	2.19E-01
BAALC-AS2	ENSG00000236939.2	0.14	0.27	-0.156	6.97E-03
BAAT	ENSG00000136881.11	0.37	0.11	0.304	1.27E-26
BABAM1	ENSG00000105393.15	58.822	58.06	0.018	3.06E-03
BACE1	ENSG00000186318.16	10.18	16.23	-0.624	4.25E-42
BACE1-AS	ENSG00000278768.1	3.75	6.23	-0.606	2.15E-32
BACE2	ENSG00000182240.15	38.109	20.04	0.894	5.40E-31
BACH1	ENSG00000156273.15	10.33	15	-0.498	4.88E-29
BACH1-AS1	ENSG00000232118.2	0	0.07	-0.098	3.18E-27
BACH1-IT1	ENSG00000248476.1	0.09	0.23	-0.174	3.77E-39
BACH1-IT2	ENSG00000228817.4	0.24	0.97	-0.668	1.01E-89
BACH2	ENSG00000112182.14	0.48	1.72	-0.878	1.14E-94
BAD	ENSG00000002330.13	68.142	68.931	-0.016	2.00E-01
BAG1	ENSG00000107262.16	63.399	78.71	-0.308	6.93E-03
BAG2	ENSG00000112208.11	3.48	4.53	-0.304	3.44E-11
BAG3	ENSG00000151929.9	42.349	43.631	-0.042	1.11E-04
BAG4	ENSG00000156735.10	6.68	4.4	0.508	1.35E-38
BAG5	ENSG00000166170.9	12.45	11.92	0.058	2.88E-01
BAG6	ENSG00000204463.12	187.116	172.313	0.118	2.39E-04
BAHCC1	ENSG00000266074.8	5.1	8.64	-0.66	4.61E-33
BAHD1	ENSG00000140320.11	11.27	15.88	-0.46	2.80E-26
BAIAP2	ENSG00000175866.15	44.24	64.888	-0.542	1.28E-21
BAIAP2-AS1	ENSG00000226137.5	13.72	9.34	0.51	1.16E-15
BAIAP2L1	ENSG00000006453.13	30.22	15.88	0.887	1.51E-61
BAIAP2L2	ENSG00000128298.16	1.25	0.84	0.29	6.83E-21
BAIAP3	ENSG00000007516.13	4.67	6.06	-0.316	2.31E-07
BAK1	ENSG00000030110.12	23.15	14.26	0.662	3.67E-59
BAK1P1	ENSG00000175730.8	0.32	0.48	-0.165	3.59E-11
BAMBI	ENSG00000095739.10	7.1	11.95	-0.677	6.58E-07
BANCR	ENSG00000278910.3	0.27	0.84	-0.535	4.37E-06
BANF1	ENSG00000175334.7	190.572	113.582	0.742	1.91E-77
BANF1P2	ENSG00000230306.1	0	0.42	-0.506	6.49E-23
BANF1P3	ENSG00000237758.1	0.19	0	0.251	1.76E-03
BANK1	ENSG00000153064.11	4.49	5.22	-0.18	3.74E-03
BANP	ENSG00000172530.19	9.5	13.16	-0.431	1.76E-19
BAP1	ENSG00000163930.9	33.171	57.579	-0.778	3.01E-65
BARD1	ENSG00000138376.10	3.15	2.4	0.288	1.17E-06
BARX1	ENSG00000131668.13	0.55	0.04	0.576	3.65E-44
BARX2	ENSG00000043039.6	3.82	0.14	2.08	1.71E-101
BASP1	ENSG00000176788.8	35.569	27.971	0.336	4.49E-06
BATF	ENSG00000156127.6	16.939	7.93	1.006	4.46E-43
BATF2	ENSG00000168062.9	7.45	5.32	0.419	5.60E-11
BATF3	ENSG00000123685.8	5.27	8.62	-0.618	4.17E-17
BAX	ENSG00000087088.19	100.691	99.698	0.014	2.95E-01
BAZ1A	ENSG00000198604.10	21.51	24.891	-0.202	2.34E-04
BAZ1B	ENSG00000009954.10	21.769	19.2	0.173	1.14E-06
BAZ2A	ENSG00000076108.11	26.15	48.91	-0.878	2.27E-49
BAZ2B	ENSG00000123636.17	10.54	17.99	-0.719	1.30E-49
BBC3	ENSG00000105327.15	8.49	9.75	-0.18	7.04E-11
BBIP1	ENSG00000214413.7	15.911	17.68	-0.144	1.06E-04
BBOX1	ENSG00000129151.8	0.33	0.18	0.173	4.78E-14
BBOX1-AS1	ENSG00000254560.5	0.68	0	0.748	1.03E-60
BBS1	ENSG00000174483.19	14.5	19.87	-0.429	9.21E-24
BBS10	ENSG00000179941.6	4.76	5.97	-0.275	2.79E-06
BBS12	ENSG00000181004.9	1.72	1.84	-0.062	4.38E-01
BBS2	ENSG00000125124.11	17.99	25.671	-0.49	5.51E-24
BBS4	ENSG00000140463.13	9.88	17.55	-0.77	8.81E-60
BBS5	ENSG00000163093.11	3.01	5.58	-0.714	4.01E-69
BBS7	ENSG00000138686.9	6.48	5.76	0.146	3.32E-08
BBS9	ENSG00000122507.20	6.15	6.53	-0.075	2.84E-03
BBX	ENSG00000114439.18	9.43	10.24	-0.108	1.28E-01
BCAM	ENSG00000187244.10	131.689	146.361	-0.151	5.83E-02
BCAN	ENSG00000132692.18	0.1	0.2	-0.126	3.62E-01
BCAP29	ENSG00000075790.10	34.21	30.46	0.162	8.97E-06
BCAP31	ENSG00000185825.15	235.078	159.531	0.556	1.81E-59
BCAR1	ENSG00000050820.16	28.541	40.001	-0.473	2.33E-18
BCAR3	ENSG00000137936.16	8.91	16.999	-0.861	1.54E-37
BCAS1	ENSG00000064787.12	3.59	0.95	1.235	1.50E-34
BCAS2	ENSG00000116752.5	32.839	25.69	0.342	3.57E-22
BCAS2P2	ENSG00000234332.1	0.08	0.09	-0.013	3.87E-01
BCAS3	ENSG00000141376.20	10.33	15.009	-0.499	2.59E-28
BCAS4	ENSG00000124243.17	10.47	3.3	1.415	2.46E-102
BCAT1	ENSG00000060982.14	7.2	9.37	-0.339	3.72E-02
BCAT2	ENSG00000105552.14	35.859	40.109	-0.157	2.89E-01
BCCIP	ENSG00000107949.16	46.391	29.459	0.638	1.03E-65
BCDIN3D	ENSG00000186666.5	3.15	2.08	0.43	4.70E-54
BCDIN3D-AS1	ENSG00000258057.5	0.51	0.45	0.058	1.18E-02
BCHE	ENSG00000114200.9	0.91	6.93	-2.054	4.59E-122
BCKDHA	ENSG00000248098.10	29.48	21.72	0.424	7.56E-26
BCKDHB	ENSG00000083123.14	7.38	6.91	0.083	9.54E-05
BCKDK	ENSG00000103507.13	42.75	31.639	0.423	1.01E-29
BCL10	ENSG00000142867.12	11.57	7.15	0.625	2.70E-39
BCL11A	ENSG00000119866.20	3.55	1.64	0.785	1.16E-35
BCL11B	ENSG00000127152.17	0.81	0.89	-0.062	2.26E-01
BCL2	ENSG00000171791.11	2.06	3.38	-0.517	1.56E-17
BCL2A1	ENSG00000140379.7	12.98	43.779	-1.679	2.51E-100
BCL2L1	ENSG00000171552.12	85.692	97.51	-0.184	2.66E-04
BCL2L10	ENSG00000137875.4	0.32	0.04	0.344	5.83E-44
BCL2L11	ENSG00000153094.21	9.85	8.94	0.126	3.18E-02
BCL2L12	ENSG00000126453.9	22.63	13.18	0.737	5.99E-68
BCL2L13	ENSG00000099968.17	24.739	19.99	0.294	7.49E-22
BCL2L14	ENSG00000121380.12	1.9	0.58	0.876	7.33E-53
BCL2L15	ENSG00000188761.11	9.55	1.07	2.35	7.30E-115
BCL2L2	ENSG00000129473.9	16.56	37.01	-1.114	8.75E-111
BCL2L2-PABPN1	ENSG00000258643.5	3.06	3.47	-0.139	2.01E-03
BCL3	ENSG00000069399.12	57.348	107.009	-0.888	2.33E-36
BCL6	ENSG00000113916.17	27.319	129.31	-2.202	1.05E-147
BCL6B	ENSG00000161940.10	4.25	19.251	-1.948	1.36E-152
BCL7A	ENSG00000110987.8	5.76	4.7	0.246	7.55E-10
BCL7B	ENSG00000106635.7	46.701	54.439	-0.217	1.69E-07
BCL7C	ENSG00000099385.11	30.099	21.12	0.492	1.23E-37
BCL9	ENSG00000116128.9	11.55	4.92	1.084	5.52E-83
BCL9L	ENSG00000186174.12	29.531	31.04	-0.07	1.50E-03
BCL9P1	ENSG00000249238.1	0	0.02	-0.029	5.01E-23
BCLAF1	ENSG00000029363.15	39.879	41.389	-0.052	3.38E-02
BCLAF1P1	ENSG00000248966.1	0.01	0	0.014	2.70E-02
BCO1	ENSG00000135697.9	0.73	0.13	0.614	6.20E-57
BCO2	ENSG00000197580.11	0.96	3.78	-1.286	2.94E-104
BCOR	ENSG00000183337.16	13.47	13.13	0.034	4.17E-01
BCORL1	ENSG00000085185.15	5.23	4.87	0.086	3.39E-01
BCORP1	ENSG00000215580.10	0	0.2	-0.263	2.76E-32
BCR	ENSG00000186716.19	37.851	36.359	0.056	1.12E-01
BCRP2	ENSG00000169668.11	1.32	2.59	-0.63	1.33E-23
BCRP3	ENSG00000215481.8	3.85	10.56	-1.253	6.16E-60
BCRP7	ENSG00000215544.6	0.04	0	0.057	5.00E-01
BCS1L	ENSG00000074582.12	22.201	32.719	-0.539	1.41E-09
BCYRN1	ENSG00000236824.1	0.31	0.15	0.188	1.27E-32
BDH1	ENSG00000161267.11	16.6	7.38	1.071	7.20E-57
BDH2	ENSG00000164039.14	27.63	51.09	-0.863	2.14E-61
BDH2P1	ENSG00000232699.3	0.12	0.22	-0.123	1.70E-11
BDKRB1	ENSG00000100739.10	0.98	0.45	0.449	5.43E-08
BDKRB2	ENSG00000168398.6	3.75	1.54	0.903	9.90E-35
BDNF	ENSG00000176697.18	0.23	1.4	-0.964	1.68E-58
BDNF-AS	ENSG00000245573.7	1.39	1.58	-0.11	9.84E-03
BDP1	ENSG00000145734.18	5.47	7.88	-0.457	6.80E-30
BEAN1	ENSG00000166546.13	4	1.06	1.279	1.38E-62
BEAN1-AS1	ENSG00000261656.5	0.4	0.99	-0.507	5.71E-25
BECN1	ENSG00000126581.12	64.592	50.79	0.341	4.22E-30
BECN2	ENSG00000196289.7	0.03	0	0.043	1.74E-23
BEGAIN	ENSG00000183092.15	0.45	1.72	-0.908	1.17E-68
BEND2	ENSG00000177324.13	0	0.03	-0.043	2.23E-51
BEND3	ENSG00000178409.13	1.66	0.84	0.532	1.86E-62
BEND3P1	ENSG00000231345.3	0.25	0.17	0.095	4.34E-16
BEND3P2	ENSG00000224809.2	0	0.02	-0.029	8.18E-16
BEND3P3	ENSG00000278616.1	0.65	1.46	-0.576	1.91E-54
BEND4	ENSG00000188848.15	0.03	0.17	-0.184	1.22E-30
BEND5	ENSG00000162373.12	2.59	4.17	-0.526	9.55E-14
BEND6	ENSG00000151917.17	0.78	0.5	0.247	1.47E-14
BEND7	ENSG00000165626.16	4.69	11.38	-1.122	4.14E-71
BEST1	ENSG00000167995.15	1.88	10.01	-1.935	3.21E-198
BEST3	ENSG00000127325.18	0.01	0.02	-0.014	9.77E-04
BEST4	ENSG00000142959.4	0.43	0.51	-0.079	2.29E-07
BET1	ENSG00000105829.11	25.221	14.09	0.797	3.21E-82
BET1L	ENSG00000177951.17	39.491	38.289	0.043	3.71E-02
BET1P1	ENSG00000241134.3	0.11	2.63	-1.709	1.32E-166
BEX1	ENSG00000133169.5	0.18	2.3	-1.484	8.75E-36
BEX2	ENSG00000133134.11	14.3	15.82	-0.137	3.28E-01
BEX4	ENSG00000102409.9	24	41.429	-0.763	3.80E-36
BEX5	ENSG00000184515.10	3.65	10.4	-1.294	7.82E-62
BFAR	ENSG00000103429.10	48.271	44.399	0.118	3.64E-04
BFSP1	ENSG00000125864.11	1.65	1.6	0.027	6.08E-02
BFSP2	ENSG00000170819.4	0.42	0.11	0.355	3.01E-42
BFSP2-AS1	ENSG00000249993.1	0.02	0	0.029	2.24E-01
BGLAP	ENSG00000242252.1	0.81	1.46	-0.443	8.93E-13
BGN	ENSG00000182492.15	272.44	389.775	-0.515	1.66E-12
BHLHA15	ENSG00000180535.3	2.04	0.54	0.981	3.67E-53
BHLHB9	ENSG00000198908.11	1.55	1.31	0.143	6.62E-06
BHLHE22	ENSG00000180828.2	0.71	1.22	-0.377	2.13E-23
BHLHE40	ENSG00000134107.4	99.608	110.79	-0.152	2.46E-05
BHLHE40-AS1	ENSG00000235831.6	1.1	0.97	0.092	4.39E-01
BHLHE41	ENSG00000123095.5	5.98	11.08	-0.791	3.71E-25
BHMG1	ENSG00000237452.2	0.01	0	0.014	1.24E-08
BHMT	ENSG00000145692.14	0.07	0.15	-0.104	4.81E-01
BICC1	ENSG00000122870.11	2.74	5.32	-0.757	2.50E-25
BICD1	ENSG00000151746.13	5.33	7.04	-0.345	8.40E-09
BICD2	ENSG00000185963.13	8.67	15.93	-0.808	6.68E-78
BID	ENSG00000015475.18	27.94	20.369	0.438	3.45E-16
BIK	ENSG00000100290.2	7.76	1.53	1.792	7.59E-120
BIN2	ENSG00000110934.10	6.86	21.28	-1.503	4.08E-112
BIN2P1	ENSG00000234568.3	0.01	0.03	-0.028	4.80E-12
BIN3	ENSG00000147439.11	15.79	22.29	-0.472	1.73E-34
BIRC2	ENSG00000110330.8	21.78	24.46	-0.16	2.46E-06
BIRC3	ENSG00000023445.13	17.6	17.04	0.044	1.06E-01
BIRC5	ENSG00000089685.14	14.47	1.32	2.737	9.26E-134
BIRC6	ENSG00000115760.13	18.63	22.83	-0.28	5.25E-14
BIRC6-AS2	ENSG00000279897.1	0	0.1	-0.138	1.74E-31
BIRC7	ENSG00000101197.12	1.03	0.6	0.343	9.59E-06
BIVM	ENSG00000134897.13	4.84	9.7	-0.874	8.95E-75
BIVM-ERCC5	ENSG00000270181.1	0.66	0.31	0.342	5.61E-05
BLACAT1	ENSG00000281406.1	1.63	0.36	0.951	6.29E-57
BLCAP	ENSG00000166619.12	38.719	46.17	-0.248	1.01E-07
BLK	ENSG00000136573.12	0.97	1.32	-0.236	2.98E-01
BLM	ENSG00000197299.10	3.46	1.61	0.773	7.80E-55
BLMH	ENSG00000108578.14	14.71	21.259	-0.503	3.64E-24
BLNK	ENSG00000095585.16	7.4	4.2	0.692	2.61E-39
BLOC1S1	ENSG00000135441.7	147.338	134.969	0.126	1.07E-07
BLOC1S2	ENSG00000196072.11	38.051	36.121	0.073	2.19E-03
BLOC1S3	ENSG00000189114.6	7.49	6.31	0.216	3.20E-12
BLOC1S4	ENSG00000186222.4	13.05	7.71	0.69	2.55E-97
BLOC1S5	ENSG00000188428.16	8.04	4.59	0.694	1.72E-77
BLOC1S5-TXNDC5	ENSG00000259040.4	10.28	18.11	-0.761	2.10E-14
BLOC1S6	ENSG00000104164.10	16.06	18.09	-0.162	7.70E-07
BLVRA	ENSG00000106605.10	89.572	65.571	0.444	7.33E-22
BLZF1	ENSG00000117475.13	13.1	8.85	0.518	1.57E-56
BMF	ENSG00000104081.13	12.01	8.11	0.514	3.38E-23
BMI1	ENSG00000168283.13	23.61	22.34	0.076	3.43E-03
BMP1	ENSG00000168487.17	13.1	27.509	-1.016	1.08E-50
BMP2	ENSG00000125845.6	5.33	12.93	-1.138	1.05E-43
BMP2K	ENSG00000138756.17	9.21	12.79	-0.434	5.38E-29
BMP3	ENSG00000152785.6	2.46	0.88	0.88	1.57E-23
BMP4	ENSG00000125378.15	7.71	9.35	-0.249	4.87E-04
BMP5	ENSG00000112175.7	2.82	6.91	-1.05	2.75E-37
BMP6	ENSG00000153162.8	1.77	7.79	-1.666	4.44E-43
BMP8A	ENSG00000183682.7	0.51	0.31	0.205	8.46E-23
BMP8B	ENSG00000116985.10	1.97	1.37	0.326	2.20E-17
BMPER	ENSG00000164619.8	0.41	6.79	-2.466	1.61E-198
BMPR1A	ENSG00000107779.11	4.79	5.33	-0.129	2.82E-02
BMPR1APS1	ENSG00000219642.2	0.11	0.13	-0.026	3.06E-06
BMPR1APS2	ENSG00000232460.4	0.93	0.13	0.772	1.41E-38
BMPR1B	ENSG00000138696.10	0.8	0.72	0.066	6.73E-03
