Gene_Symbol	Gene_ID	Median_Tumor	Median_Normal	log2FC	FDR
ABHD10	ENSG00000144827.8	12.1	9.82	0.276	2.13E-26
ABHD11	ENSG00000106077.18	47.081	22.06	1.06	7.31E-67
ABHD11-AS1	ENSG00000225969.1	7.18	3.27	0.938	1.64E-31
ABHD12	ENSG00000100997.18	51.41	35.569	0.519	5.77E-42
ABHD12B	ENSG00000131969.14	0.19	0.38	-0.214	2.46E-09
ABHD13	ENSG00000139826.5	4.81	5.5	-0.162	1.46E-09
ABHD14A	ENSG00000248487.8	22.23	16.95	0.372	1.04E-21
ABHD14A-ACY1	ENSG00000114786.15	0.54	0.6	-0.055	4.32E-04
ABHD15	ENSG00000168792.4	7.52	6.35	0.213	1.48E-11
ABHD16A	ENSG00000204427.11	41	52.149	-0.34	2.67E-14
ABHD17A	ENSG00000129968.15	30.06	64.088	-1.067	2.23E-86
ABHD17AP1	ENSG00000198658.4	0.17	0.21	-0.048	1.43E-01
ABHD17AP3	ENSG00000250536.1	0.03	0.06	-0.041	8.89E-14
ABHD17AP4	ENSG00000229107.2	0.03	0	0.043	8.52E-04
ABHD17AP6	ENSG00000226981.2	0.04	0.06	-0.027	1.13E-05
ABHD17B	ENSG00000107362.13	7.1	8.92	-0.292	2.35E-17
ABHD17C	ENSG00000136379.11	27.59	19.8	0.459	4.14E-11
ABHD2	ENSG00000140526.16	27.62	24.281	0.179	2.26E-01
ABHD4	ENSG00000100439.10	19.99	21.5	-0.1	3.34E-01
ABHD5	ENSG00000011198.7	13.15	20.78	-0.622	1.22E-49
ABHD6	ENSG00000163686.13	3.42	7.57	-0.955	4.89E-81
ABHD8	ENSG00000127220.5	8.2	10.93	-0.375	3.91E-15
ABI1	ENSG00000136754.16	28.739	27.249	0.074	1.99E-03
ABI3	ENSG00000108798.8	9.49	18.02	-0.858	1.68E-59
ABI3BP	ENSG00000154175.16	8.96	79.368	-3.012	1.75E-186
ABL1	ENSG00000097007.17	22.06	32.039	-0.519	4.16E-37
ABL2	ENSG00000143322.19	4.5	5.19	-0.171	3.82E-10
ABLIM1	ENSG00000099204.18	22.38	40.31	-0.821	7.10E-33
ABLIM2	ENSG00000163995.18	2.2	5.64	-1.053	2.05E-56
ABLIM3	ENSG00000173210.19	3.67	26.35	-2.55	2.68E-175
ABO	ENSG00000175164.13	4.6	5.3	-0.17	9.17E-02
ABR	ENSG00000159842.14	34.139	83.198	-1.261	1.13E-95
ABRA	ENSG00000174429.3	0.01	0.1	-0.123	5.97E-57
ABRACL	ENSG00000146386.7	53.26	29.1	0.85	6.43E-74
ABT1	ENSG00000146109.4	14.54	10.01	0.497	1.28E-72
ABTB1	ENSG00000114626.17	17.2	61.96	-1.791	2.33E-151
AC000036.4	ENSG00000225929.1	0	0.19	-0.251	5.64E-40
AC000068.10	ENSG00000273212.1	0.36	0.58	-0.216	6.10E-18
AC000068.5	ENSG00000185065.6	0.29	0.2	0.104	6.44E-20
AC000068.9	ENSG00000273300.1	0.06	0.01	0.07	1.11E-06
AC000078.5	ENSG00000232926.1	0.39	1.24	-0.688	1.70E-60
AC000089.3	ENSG00000235776.2	2.69	0.46	1.338	4.61E-130
AC000095.11	ENSG00000273164.1	0.12	0	0.164	5.27E-13
AC000095.9	ENSG00000270393.1	0	0.03	-0.043	2.06E-01
AC000120.7	ENSG00000243107.1	0.17	0.63	-0.478	1.50E-79
AC000123.2	ENSG00000280347.1	0.6	1.16	-0.433	7.66E-71
AC000123.3	ENSG00000279265.1	1.91	5.98	-1.262	1.62E-95
AC000123.4	ENSG00000224138.1	0.97	3.5	-1.192	2.33E-108
AC000403.4	ENSG00000278727.1	0.22	0.36	-0.157	4.70E-21
AC001226.7	ENSG00000274898.1	0.06	0.21	-0.191	9.13E-37
AC002044.1	ENSG00000279591.1	0.09	0.06	0.04	1.80E-03
AC002056.3	ENSG00000213683.4	0.15	0.12	0.038	1.57E-04
AC002056.5	ENSG00000254499.1	0	0.63	-0.705	4.70E-66
AC002059.10	ENSG00000273216.1	0.25	0.48	-0.244	1.32E-16
AC002064.5	ENSG00000225498.1	0	0.1	-0.138	7.15E-37
AC002066.1	ENSG00000237813.3	0.22	0.86	-0.608	1.98E-41
AC002075.4	ENSG00000237729.2	0.55	0	0.632	4.15E-09
AC002076.10	ENSG00000234695.1	0.08	0	0.111	1.42E-18
AC002116.7	ENSG00000267698.1	0.44	0.23	0.227	2.51E-33
AC002116.8	ENSG00000248101.2	0.22	2.43	-1.491	3.19E-89
AC002117.1	ENSG00000224505.2	0	0.36	-0.444	5.46E-41
AC002310.10	ENSG00000260494.1	0.03	0	0.043	2.63E-03
AC002310.11	ENSG00000261459.1	0.27	0.53	-0.269	1.64E-05
AC002310.12	ENSG00000235560.3	1.31	1.15	0.104	1.15E-05
AC002310.14	ENSG00000278922.1	0.48	0.88	-0.345	1.18E-26
AC002310.7	ENSG00000239791.1	0.04	0	0.057	4.61E-05
AC002331.1	ENSG00000236481.1	0.42	0	0.506	3.33E-17
AC002398.11	ENSG00000267439.1	0.08	0.31	-0.279	6.20E-61
AC002398.12	ENSG00000267328.1	0.49	3.86	-1.706	5.83E-98
AC002398.13	ENSG00000267049.1	1.16	1.56	-0.245	7.94E-05
AC002398.9	ENSG00000188223.9	4.68	4.18	0.133	6.13E-07
AC002400.1	ENSG00000261528.2	0.04	0.17	-0.17	5.50E-39
AC002451.3	ENSG00000231170.5	0.4	0.71	-0.289	3.36E-07
AC002456.2	ENSG00000223969.5	0.25	0.79	-0.518	1.41E-35
AC002467.7	ENSG00000241764.3	2.97	2.32	0.258	4.96E-13
AC002480.3	ENSG00000232759.1	0.22	0.62	-0.409	2.61E-11
AC002480.4	ENSG00000232949.1	0.09	0.26	-0.209	4.38E-05
AC002480.5	ENSG00000225541.1	0.14	0.33	-0.222	1.31E-25
AC002511.2	ENSG00000233214.1	0	0.17	-0.227	2.38E-09
AC002511.3	ENSG00000232680.2	0	0.05	-0.07	2.97E-01
AC002519.8	ENSG00000259810.2	0.02	0.05	-0.042	1.66E-08
AC002543.2	ENSG00000235945.1	0	0.02	-0.029	1.45E-11
AC002550.6	ENSG00000276571.1	0.55	0.86	-0.263	2.86E-14
AC002984.2	ENSG00000267005.1	0	0.11	-0.151	2.15E-23
AC003002.6	ENSG00000269533.5	0.17	0.24	-0.084	1.64E-04
AC003003.5	ENSG00000188477.12	0.04	0.02	0.028	7.85E-05
AC003075.4	ENSG00000237773.5	0.87	1.54	-0.442	8.38E-27
AC003080.4	ENSG00000234358.1	0	0.06	-0.084	1.85E-31
AC003090.1	ENSG00000223561.6	0.14	0.87	-0.714	3.78E-46
AC003104.1	ENSG00000236194.3	0.02	0.19	-0.222	8.75E-61
AC003682.17	ENSG00000269097.1	0.06	0.08	-0.027	6.16E-02
AC003973.1	ENSG00000269615.1	0	0.03	-0.043	9.22E-18
AC003973.3	ENSG00000279377.1	0.16	0.74	-0.585	2.26E-20
AC003991.3	ENSG00000228113.7	0.68	1.05	-0.287	1.30E-04
AC004012.1	ENSG00000233942.1	0.12	0.15	-0.038	4.78E-01
AC004019.13	ENSG00000236754.5	0.01	0.13	-0.162	6.67E-51
AC004057.1	ENSG00000196656.7	555.752	517.458	0.103	1.17E-03
AC004066.3	ENSG00000250522.1	0.05	0	0.07	3.19E-11
AC004069.2	ENSG00000251259.1	0.5	1	-0.415	7.70E-20
AC004076.5	ENSG00000276449.1	0.15	0.33	-0.21	8.18E-44
AC004076.9	ENSG00000268163.1	0.2	0.33	-0.148	1.11E-09
AC004156.3	ENSG00000267666.2	0.06	0.04	0.027	8.32E-14
AC004231.2	ENSG00000234477.1	0.04	0.05	-0.014	1.70E-01
