Gene Module Number	EnsemblID
1	ENSG00000125266
1	ENSG00000125810
1	ENSG00000125848
1	ENSG00000126803
1	ENSG00000127329
1	ENSG00000127585
1	ENSG00000127920
1	ENSG00000127946
1	ENSG00000128052
1	ENSG00000128567
1	ENSG00000128641
1	ENSG00000128656
1	ENSG00000128791
1	ENSG00000128872
1	ENSG00000128917
1	ENSG00000129009
1	ENSG00000129038
1	ENSG00000129467
1	ENSG00000129474
1	ENSG00000129946
1	ENSG00000129990
1	ENSG00000130052
1	ENSG00000130300
1	ENSG00000130508
1	ENSG00000130635
1	ENSG00000131016
1	ENSG00000131477
1	ENSG00000131831
1	ENSG00000132688
1	ENSG00000133026
1	ENSG00000133067
1	ENSG00000133110
1	ENSG00000133121
1	ENSG00000133313
1	ENSG00000133687
1	ENSG00000134243
1	ENSG00000134245
1	ENSG00000134318
1	ENSG00000134352
1	ENSG00000134569
1	ENSG00000134590
1	ENSG00000134627
1	ENSG00000134802
1	ENSG00000134853
1	ENSG00000134917
1	ENSG00000134986
1	ENSG00000135063
1	ENSG00000135111
1	ENSG00000135423
1	ENSG00000135424
1	ENSG00000135775
1	ENSG00000135862
1	ENSG00000135925
1	ENSG00000136114
1	ENSG00000136158
1	ENSG00000136160
1	ENSG00000136205
1	ENSG00000136274
1	ENSG00000136546
1	ENSG00000137273
1	ENSG00000137834
1	ENSG00000137872
1	ENSG00000137962
1	ENSG00000138356
1	ENSG00000138495
1	ENSG00000138735
1	ENSG00000138792
1	ENSG00000138795
1	ENSG00000139174
1	ENSG00000139211
1	ENSG00000139263
1	ENSG00000140092
1	ENSG00000140682
1	ENSG00000140807
1	ENSG00000140937
1	ENSG00000141338
1	ENSG00000141622
1	ENSG00000141720
1	ENSG00000141756
1	ENSG00000142156
1	ENSG00000142173
1	ENSG00000142798
1	ENSG00000143067
1	ENSG00000143140
1	ENSG00000143341
1	ENSG00000143995
1	ENSG00000144057
1	ENSG00000144642
1	ENSG00000144724
1	ENSG00000144810
1	ENSG00000144857
1	ENSG00000145040
1	ENSG00000145147
1	ENSG00000145675
1	ENSG00000145777
1	ENSG00000146648
1	ENSG00000146966
1	ENSG00000147027
1	ENSG00000147257
1	ENSG00000147408
1	ENSG00000147862
1	ENSG00000148468
1	ENSG00000148541
1	ENSG00000148600
1	ENSG00000149212
1	ENSG00000149294
1	ENSG00000149485
1	ENSG00000149564
1	ENSG00000149575
1	ENSG00000149582
1	ENSG00000149596
1	ENSG00000149639
1	ENSG00000150048
1	ENSG00000150457
1	ENSG00000150471
1	ENSG00000150625
1	ENSG00000150938
1	ENSG00000151617
1	ENSG00000151632
1	ENSG00000151914
1	ENSG00000152104
