replicate	gene
1	TMOD1
1	GALR2
1	PROX1
1	EPSTI1
1	RNF175
1	MYRIP
1	PRDM6
1	FGF12
1	LOC202181
1	LPGAT1
1	CHST13
1	SUSD4
1	GRTP1
1	NPTX2
1	GBX1
1	NELL1
1	COL25A1
1	XKR5
1	FAAH
1	KCNG3
1	TMEFF1
1	GLT8D2
1	PPM1E
1	SGSM1
1	MLLT3
1	PPM1E
1	SLC43A1
1	EPSTI1
1	C14orf37
1	PRTG
1	ZSCAN21
1	RUFY1
1	RBM23
1	INSR
1	SALL1
1	FGF18
1	RAB39
1	BHLHE22
1	SLC22A17
1	SLC7A14
1	DNAJC6
1	GLB1L3
1	IRX3
1	MYOCD
1	TIAM1
1	SYNPR
1	CCDC140
1	ITGA9
1	RUFY1
1	RUFY1
1	RASGRF1
1	CSMD2
1	PRKAA2
1	GABRA2
1	ZNF471
1	DCC
1	ADAP2
1	FGF12
1	NKX3-2
1	ANKRD34C
1	MMD2
1	C4orf31
1	FLT3
1	RHBDL3
1	INSM2
1	RASD1
1	GSX1
1	WNT9B
1	CRISPLD2
1	GRP
1	SLC43A1
1	SLC1A2
1	ADCK2
1	AVPR1A
1	CYP4F22
1	PRTG
1	MMP25
1	MTERF
1	ZNF790
1	ECEL1
1	DYX1C1
1	DBC1
1	SDK1
1	ADCY1
1	SV2B
1	EIF2B3
1	SV2C
1	SOX8
1	PRDM6
1	CACNA1E
1	STAT6
1	PTER
1	FIBCD1
1	C12orf39
1	FOXD3
1	TUBB2B
1	KCNH7
1	MIR203
1	C20orf112
1	COL25A1
1	ZNF790
1	ARFGAP3
1	GABRA2
1	FGF12
1	ZNF804B
1	CRH
1	SRRM3
1	SLIT2
1	KCNQ4
1	CILP2
1	WNT6
1	CTXN2
1	FGFR1
1	BARX1
1	VWC2
1	CBFA2T3
1	EPSTI1
1	UBE2G1
1	GALNT9
1	FAM59B
1	ADCYAP1
1	SORCS3
1	IRX4
1	ANKRD20B
1	VASH2
1	FAM69C
1	LOC348840
1	KCNA6
1	LHX8
1	ANO5
1	VANGL2
1	SHOX2
1	KDR
1	GLB1L3
1	FGFRL1
1	TIAM1
1	SNTB1
1	ZNF804B
1	IGFBP3
1	ZNF790
1	MMEL1
1	C5orf49
1	DSCAML1
1	SPINK2
1	CHRNA7
1	RADIL
1	JAKMIP1
1	FGF12
1	PAX2
1	ADRA2C
1	NKX6-2
1	SLC35F1
1	MRAS
1	CCNE1
1	NRN1
1	RFX6
1	WIPF1
1	BRUNOL4
1	SHC3
1	ADCY1
1	MGA
1	RASGRF1
1	DCP1B
1	NPNT
1	SNTB1
1	EN2
1	BMP7
1	GPR139
1	RASGEF1A
1	SNTB1
1	ZNF600
1	ZNF702P
1	CABP7
1	FAM159B
1	CA10
1	FAM155A
1	EMILIN3
1	EP400NL
1	ZNF790
1	KCNQ1
1	SLC43A1
1	DNAH9
1	LRRC34
1	SCN8A
1	FLT3
1	SHOX2
1	PRKCB
1	HMG20B
1	TFAP2A
1	LINGO3
1	NTRK3
1	PHYHIPL
1	HAND1
1	RPLP1
1	IMPACT
1	SDK1
1	GRP
1	CILP2
1	BMP3
1	INSM2
1	TMEM196
1	WNT1
1	PDE8B
1	PRSS35
1	CSGALNACT2
1	PARM1
1	ZNF844
1	RBM11
1	C17orf64
1	FGF4
1	C12orf68
1	GADL1
1	ONECUT2
1	ONECUT2
1	POM121L2
1	CTTNBP2
1	WSCD1
1	IRX3
1	EDNRB
1	ARL6IP1
1	CHRM2
1	SLC8A1
1	FAM103A1
1	DBX2
1	CAMK4
1	MTERF
1	RELB
1	PROX1
1	ALOX15
1	ASPDH
1	VAX1
1	MARCH11
1	EPHA8
1	PRTG
1	FOXF1
1	TBX5
1	CRABP1
1	RSPO2
1	BHLHE22
1	FGFR1
1	HMX2
1	UNCX
1	ZSWIM5
1	UNC5D
1	DGKI
1	WNT6
1	KALRN
1	VIM
1	FGF12
1	RASD1
1	MARCH11
1	IQSEC3
1	SLC43A1
1	TLE4
1	BAI3
1	GALR1
1	HIST1H2BB
1	POU3F3
1	CALN1
1	SLC6A1
1	JAKMIP1
1	CRLF1
1	ST6GALNAC5
1	ZNF415
1	NKX3-2
1	WNT9B
1	TMPRSS2
1	PROK2
1	OVOL1
1	HRK
1	IRX4
1	POM121L2
1	SYNGR1
1	CHRNA7
1	HSPA2
1	EPHA5
1	DDAH2
1	GRM7
1	ZNF695
1	GALNT13
1	RAB3C
1	ZIC2
1	APCDD1
1	SRD5A2
1	SLC22A17
1	SPTBN1
1	KIF26A
1	C14orf106
1	HOXC13
1	HCK
1	SLC43A1
1	LINGO3
1	P2RX2
