"ID"	"Gene.symbol"	"logFC"	"adj.P.Val"
"86"	"228123_s_at"	"ABHD12"	0.232534782129843	0.000601336007443001
"87"	"235348_at"	"ABHD13"	-0.0519949959899755	0.607448966385313
"88"	"202740_at"	"ABHD14A-ACY1///ACY1"	-0.0328311211692291	0.70309931926332
"89"	"210006_at"	"ABHD14A///ACY1"	-0.0936295919321903	0.22089047344456
"90"	"224821_at"	"ABHD14B"	0.193026463030185	0.0572888228701104
"91"	"226796_at"	"ABHD15"	-0.0301342954494199	0.732408277093244
"92"	"224756_s_at"	"ABHD16A"	-0.0788924766721415	0.268607902063597
"93"	"234002_at"	"ABHD16B"	0.113774042688607	0.261227904897085
"94"	"221267_s_at"	"ABHD17A"	-0.0511030221024154	0.504903630274931
"95"	"227551_at"	"ABHD17B"	-0.16048207660061	0.000688024625196255
"96"	"225436_at"	"ABHD17C"	0.150251627318442	0.0143778795894957
"97"	"236240_at"	"ABHD18"	0.1213242833104	0.176102895634013
"98"	"228490_at"	"ABHD2"	0.790594942355391	8.25101632138932e-29
"99"	"213017_at"	"ABHD3"	-0.0763911623864217	0.512093126133665
"100"	"218581_at"	"ABHD4"	0.191179282977691	0.00193413862793096
"101"	"213805_at"	"ABHD5"	-0.23639051418589	0.000433406372212802
"102"	"221552_at"	"ABHD6"	0.273309901245696	7.64827545311255e-06
"103"	"219101_x_at"	"ABHD8"	0.0658838312472243	0.774420159861752
"104"	"209028_s_at"	"ABI1"	-0.128113889467121	0.0019607983122622
"105"	"225112_at"	"ABI2"	-0.146415723281008	0.000840069511879343
"106"	"223615_at"	"ABI3"	0.164363426962155	0.13973827767903
"107"	"223395_at"	"ABI3BP"	-0.478553209511226	0.00189660575892205
"108"	"202123_s_at"	"ABL1"	0.0131533094417815	0.882415235110612
"109"	"231907_at"	"ABL2"	0.410172896781924	2.59969437284164e-14
"110"	"210461_s_at"	"ABLIM1"	0.224639309536654	0.044212951203698
"111"	"236087_at"	"ABLIM2"	0.392291132426519	0.12542571437591
"112"	"205730_s_at"	"ABLIM3"	-0.00881043303674023	0.985660457778767
"113"	"216929_x_at"	"ABO"	0.748008056345538	0.0012929415967723
"114"	"212895_s_at"	"ABR"	-0.107207079888543	0.01556655642569
"115"	"1552731_at"	"ABRA"	0.175249121488287	0.469951669958268
"116"	"223361_at"	"ABRACL"	0.235970415166637	0.00467568853099121
"117"	"218405_at"	"ABT1"	0.0008714570399313	0.993513595749123
"118"	"229162_s_at"	"ABTB1"	0.392865812854804	0.129496626884438
"119"	"232624_at"	"ABTB2"	-0.178403481527038	0.42985622326994
"120"	"214274_s_at"	"ACAA1"	-0.109509161147859	0.0362762284397319
"121"	"202003_s_at"	"ACAA2"	-0.228746660347428	0.0084678525063952
"122"	"214358_at"	"ACACA"	0.251547153529845	0.0494524655693336
"123"	"1552615_at"	"ACACB"	0.249700477621011	0.0619472011540016
"124"	"219986_s_at"	"ACAD10"	0.179865087685732	0.000925177212474501
"125"	"221669_s_at"	"ACAD8"	-0.0591223108038985	0.365472631397513
"126"	"239976_at"	"ACAD9"	0.221572449086634	0.355268512234061
"127"	"206068_s_at"	"ACADL"	-0.0848687146856157	0.274823497194612
"128"	"202502_at"	"ACADM"	-0.277741371782803	5.21241674703172e-06
"129"	"202366_at"	"ACADS"	0.0961312156640242	0.312855715507775
"130"	"226030_at"	"ACADSB"	-0.1782683333591	0.00156152000467802
"131"	"200710_at"	"ACADVL"	0.193981415662288	0.00114582900185101
"132"	"217161_x_at"	"ACAN"	0.340586314127403	0.00667794475154821
"133"	"205213_at"	"ACAP1"	0.483796867730469	0.0185125193959031
"134"	"212476_at"	"ACAP2"	-0.131465035906432	0.0122937434433275
"135"	"225529_at"	"ACAP3"	0.065973520232431	0.712631987104976
"136"	"205412_at"	"ACAT1"	0.106641456109624	0.250274348399162
"137"	"209608_s_at"	"ACAT2"	-0.297278040978831	3.55639845673561e-07
"138"	"202323_s_at"	"ACBD3"	0.154146598880688	0.159462929292248
"139"	"219413_at"	"ACBD4"	0.132436927416006	0.250668920379997
"140"	"225663_at"	"ACBD5"	-0.0625124054979178	0.357942952216597
"141"	"225317_at"	"ACBD6"	-0.16267162224108	0.000615840633748235
"142"	"228264_at"	"ACCS"	0.0276228097417004	0.837466992119598
"143"	"204617_s_at"	"ACD"	-0.0673376838490718	0.332633407333698
"144"	"209749_s_at"	"ACE"	0.185706503068535	0.551963931263775
"145"	"222257_s_at"	"ACE2"	0.347779002063406	6.18896227410397e-05
"146"	"1553929_at"	"ACER1"	0.364266460437723	0.0542675314313835
"147"	"227306_at"	"ACER2"	0.352894006350962	6.00002978249563e-08
"148"	"222688_at"	"ACER3"	-0.11822977748616	0.186319863675453
"149"	"210332_at"	"ACHE"	0.330715194163813	0.169841194311855
"150"	"201715_s_at"	"ACIN1"	0.0764483096410871	0.323246333086271
"151"	"208335_s_at"	"ACKR1"	-0.250845826899033	0.344646216201077
"152"	"1559432_at"	"ACKR2"	0.379460974278793	0.105001921388518
"153"	"212977_at"	"ACKR3"	-0.159873347699058	0.167641797640122
"154"	"220351_at"	"ACKR4"	-0.198594015123136	0.100337912197254
"155"	"201127_s_at"	"ACLY"	0.221740707583166	7.7591230490864e-05
"156"	"230602_at"	"ACMSD"	0.102008864599373	0.796099601522575
"157"	"207071_s_at"	"ACO1"	-0.193578253626548	0.00216129992224066
"158"	"217307_at"	"ACO2"	-0.154401203915262	0.302566642422327
"159"	"240287_at"	"ACOD1"	0.0280024752187611	0.932878118304535
"160"	"202982_s_at"	"ACOT1///ACOT2"	-0.0819263216439978	0.441333297778092
"161"	"216103_at"	"ACOT11"	-0.226571587216382	0.0438470686820321
"162"	"238160_at"	"ACOT12"	0.0260527711242045	0.950151875941443
"163"	"204565_at"	"ACOT13"	0.201430942377174	0.00112948809203542
"164"	"229534_at"	"ACOT4"	-0.148120675169899	0.163208729340572
"165"	"241949_at"	"ACOT6"	-0.237346040987215	0.278368369861279
"166"	"215728_s_at"	"ACOT7"	0.303731155868887	0.070791489855151
"167"	"236514_at"	"ACOT8"	0.108784159519049	0.117386137471863
"168"	"221641_s_at"	"ACOT9"	0.161399141455973	0.00831528989172797
"169"	"209601_at"	"ACOX1"	0.421804461163177	0.0364828765319863
"170"	"205364_at"	"ACOX2"	-0.159535147842423	0.0562145192941194
"171"	"204241_at"	"ACOX3"	0.183809556904192	0.0411658292937964
"172"	"220845_at"	"ACOXL"	-0.25737125753273	0.435511514872558
"173"	"201629_s_at"	"ACP1"	0.289589828961583	0.00171325810841197
"174"	"202767_at"	"ACP2"	0.157575294084914	0.0155774281316477
"175"	"204638_at"	"ACP5"	0.0892383815569833	0.696975874319947
"176"	"218795_at"	"ACP6"	0.219928432612114	0.000136899214511459
"177"	"204393_s_at"	"ACPP"	0.473978341913495	0.000676883784423259
"178"	"241715_x_at"	"ACPT"	0.0410851433646977	0.788382571720477
"179"	"207427_at"	"ACR"	-0.222790998203301	0.366687966470519
"180"	"223717_s_at"	"ACRBP"	-0.178381833155785	0.0742151458670476
"181"	"238825_at"	"ACRC"	0.0126649150513671	0.945374243532963
"182"	"207969_x_at"	"ACRV1"	0.347549540128512	0.042487793165594
"183"	"206465_at"	"ACSBG1"	0.094330157405377	0.143610136048447
"184"	"221716_s_at"	"ACSBG2"	0.296936869636253	0.243710473276108
"185"	"218844_at"	"ACSF2"	-0.0705779729715275	0.353726459663405
"186"	"235823_at"	"ACSF3"	0.131249957712899	0.207465787270116
"187"	"207275_s_at"	"ACSL1"	0.303158315588528	0.000117424510715033
"188"	"201662_s_at"	"ACSL3"	0.206643360376713	6.20970553036162e-07
"189"	"1557419_a_at"	"ACSL4"	-0.125455256453755	0.561392462366081
"190"	"218322_s_at"	"ACSL5"	0.0660628380631252	0.319063389099437
"191"	"213683_at"	"ACSL6"	0.201006620239577	0.495367376939902
"192"	"215432_at"	"ACSM1"	0.554912993199479	0.0385199350020089
"193"	"230554_at"	"ACSM2A"	0.232701432603631	0.472662582821294
"194"	"241915_at"	"ACSM2B"	0.298011562859259	0.336119455604551
"195"	"241914_s_at"	"ACSM2B///ACSM2A"	0.44845425609232	0.0723602851664503
"196"	"210377_at"	"ACSM3"	0.0455393360281233	0.849014341479838
"197"	"1554514_at"	"ACSM5"	0.368768111682354	0.210294609946235
"198"	"224882_at"	"ACSS1"	-0.298835921511529	3.12646699642263e-08
"199"	"234312_s_at"	"ACSS2"	-0.0679893659711652	0.274823497194612
"200"	"229222_at"	"ACSS3"	-0.396693994771264	1.90227905808969e-06
"201"	"203872_at"	"ACTA1"	0.138229733420955	0.617664086431686
"202"	"243140_at"	"ACTA2"	-0.252572761409779	0.368346111490326
"203"	"1564257_at"	"ACTA2-AS1"	0.323991439937954	0.146236979873942
"204"	"224594_x_at"	"ACTB"	0.156345289514189	0.000954000050075418
"205"	"217211_at"	"ACTBP9"	0.131639291889137	0.412153690460791
"206"	"205132_at"	"ACTC1"	0.0990296863478619	0.692316798220468
"207"	"212363_x_at"	"ACTG1///ACTB"	0.125890944393792	0.00530786450279026
"208"	"1565911_at"	"ACTG1P17"	0.184217467626041	0.376194824156896
"209"	"208498_s_at"	"ACTG1P4///AMY2B///AMY2A///AMY1C///AMY1B///AMY1A"	-0.577600889285387	3.33964465208889e-10
"210"	"228023_x_at"	"ACTG1P4///RNPC3///AMY2B"	-0.190714355103612	0.031401636479343
"211"	"241148_at"	"ACTG2"	0.490851586329647	0.051712806557331
"212"	"232619_at"	"ACTL10"	-0.0540830017972427	0.837466992119598
"213"	"202666_s_at"	"ACTL6A"	-0.104071217993816	0.111128043409742
"214"	"206014_at"	"ACTL6B"	0.271792654176017	0.00287579340622608
"215"	"220501_at"	"ACTL7A"	0.445430225849	0.0241372035095297
"216"	"220498_at"	"ACTL7B"	0.192977627710705	0.337479058971404
"217"	"214957_at"	"ACTL8"	-0.0166711907373442	0.937054437435958
"218"	"243208_x_at"	"ACTL9"	0.199638318745591	0.555505482251927
"219"	"208636_at"	"ACTN1"	-0.403515955089103	4.75406500332398e-19
"220"	"203862_s_at"	"ACTN2"	0.313745489151811	0.228647831341865
"221"	"206891_at"	"ACTN3"	0.359957567279136	0.165334051956723
"222"	"200601_at"	"ACTN4"	0.228457001513563	0.0341362358591751
"223"	"222230_s_at"	"ACTR10"	-0.0387204973108695	0.339577628341765
"224"	"200721_s_at"	"ACTR1A"	0.184808685212813	0.00147505688743066
"225"	"202135_s_at"	"ACTR1B"	-0.10636293941568	0.113494324966117
"226"	"1558015_s_at"	"ACTR2"	0.295551452168155	0.0272488908925504
"227"	"200996_at"	"ACTR3"	0.242034795364379	1.01817182503371e-09
"228"	"218868_at"	"ACTR3B"	-0.0817517747748937	0.195232116388389
"229"	"224425_x_at"	"ACTR3BP2"	-0.186517770715055	0.425223852393307
"230"	"224424_x_at"	"ACTR3BP2///ACTR3BP5"	-0.13638098370153	0.415605902796062
"231"	"223874_at"	"ACTR3C"	0.134613218665731	0.00817369280799622
"232"	"219623_at"	"ACTR5"	-0.221827041470323	0.000358156088141446
"233"	"241794_at"	"ACTR6"	0.0904296601962074	0.65232209362263
"234"	"222707_s_at"	"ACTR8"	0.167762267419402	0.00406185188552226
"235"	"237360_at"	"ACTRT2"	0.454841361246961	0.0236701336078114
"236"	"223665_at"	"ACTRT3"	0.0832965644348906	0.763085944461365
"237"	"203935_at"	"ACVR1"	0.0432399318066299	0.392838083793318
"238"	"213198_at"	"ACVR1B"	-0.164794662907108	8.07433574873852e-06
"239"	"1552519_at"	"ACVR1C"	0.202681706273597	0.202475545420379
"240"	"228416_at"	"ACVR2A"	-0.150655003208032	0.000974188417394369
"241"	"220028_at"	"ACVR2B"	-0.0957846232622659	0.297355244852917
"242"	"215590_x_at"	"ACVR2B-AS1"	-0.191046412847168	0.372066105171886
"243"	"226950_at"	"ACVRL1"	-0.377213662545099	0.139378321038308
