"Gene" "CS_NS_A2" "FS_NS_A2" "CS_FS_A2" "FDR_A2"
"1" "ABCC4" -0.379543073919056 -0.407740908562421 0.0281978346433656 0.00742104118868653
"2" "ABHD2" 1.10365775287485 0.613590675318915 0.490067077555932 2.61383982019045e-06
"3" "ACADM" -0.489902618255049 -0.602435232871365 0.112532614616316 0.0171146985111205
"4" "ACVR1B" -0.412109588739991 -0.422175692246263 0.0100661035062721 0.000264368821485114
"5" "ADAM28" -0.939273584420763 -1.03147241776906 0.0921988333482924 0.00101201440687763
"6" "AKR1B10" 4.28149972117821 1.63325242988639 2.64824729129181 1.76080955694506e-20
"7" "ALDOA" 0.403280237054123 0.34073314408918 0.0625470929649428 0.00277625439997219
"8" "ANK3" -0.378604854837169 -0.518436036021862 0.139831181184693 0.0044619114273856
"9" "ANOS1" -1.42808823878348 -1.62826647059214 0.20017823180866 0.00837589739885925
"10" "ARID1A" -0.267933080744956 -0.327894079458032 0.059960998713076 0.0243571671156123
"11" "ATP2A2" -0.658556729622608 -1.09955217623047 0.440995446607863 0.00188876372324585
"12" "AUTS2" -0.381841305508463 -0.455974464858478 0.0741331593500156 0.00888435245336066
"13" "CA12" 1.54307243938137 1.24376640210653 0.299306037274843 2.25407181155e-05
"14" "CA8" -0.197108432103056 -0.205086877179371 0.0079784450763154 0.00351177742028862
"15" "CALML3" 0.708989041680158 0.818997667705746 -0.110008626025587 0.0178799113269875
"16" "CBX5" -0.476838683478912 -0.462377376320364 -0.0144613071585482 0.0031721036892102
"17" "CCDC33" -0.8022786891703 -0.820599903635522 0.0183212144652227 0.00447848128921585
"18" "CCDC81" -1.25976452347484 -1.20472662572982 -0.0550378977450121 0.00395101394895723
"19" "CCND2" -0.808182334751113 -0.539329011814198 -0.268853322936915 1.11241539862437e-05
"20" "CD151" 0.476702811550592 0.575387532351613 -0.0986847208010202 0.0136940229142054
"21" "CEACAM5" 3.03515722592972 2.24370115383621 0.791456072093512 1.3510565997812e-08
"22" "CEACAM6" 0.933898691892425 0.605989676918535 0.327909014973891 5.32009305531969e-06
"23" "CSTA" 1.18396550337092 0.94403452096525 0.239930982405674 0.000663498384614313
"24" "CTNNAL1" -1.21849314630758 -1.01335867622964 -0.205134470077941 0.00113585727827693
"25" "CX3CL1" -1.60426709984228 -0.901024297789411 -0.703242802052865 1.05716068070329e-08
"26" "CXADR" -0.316182503671135 -0.322040105461998 0.00585760179086314 0.00855874381346579
"27" "CYP2F1" -1.19807500304174 -1.0992730261848 -0.0988019768569375 0.00226519530481115
"28" "CYP2J2" -0.809685347050003 -1.13838548810251 0.328700141052506 1.0017781582984e-06
"29" "DEFB1" 1.99234755427031 1.53631888045839 0.456028673811917 3.8394332924459e-05
"30" "DLK2" -0.44956278049974 -0.509666538347887 0.0601037578481471 0.0132499917688932
"31" "EFEMP1" -0.827027923153713 -0.927873025275243 0.10084510212153 0.00752729646072409
"32" "EPAS1" -0.791636985600293 -0.785329600450822 -0.00630738514947105 9.67202866465159e-05
"33" "FAM114A1" 1.00928012531388 0.488968675558159 0.520311449755724 6.94871572710105e-12
"34" "FAM189A2" -0.232119274803403 -0.227085644892306 -0.00503362991109713 0.01191916015179
"35" "FLNB" -0.422189115600153 -0.425601732223798 0.00341261662364545 0.00328700202196731
"36" "GALE" 0.850630947708696 0.574450454227852 0.276180493480844 4.18562082473245e-05
"37" "GMDS" 0.787444225319072 0.609252107924795 0.178192117394277 0.000112766431078764
"38" "GPX2" 2.99507156392173 1.54168760611997 1.45338395780177 8.08212769202044e-17
"39" "GUK1" 0.514217679255395 0.483224571254087 0.0309931080013079 0.00242960496192881
"40" "HLA-DQB2" -0.158640848056438 -0.172890232643681 0.0142493845872427 0.0063643164548066
"41" "HLF" -1.08118634921802 -1.10355836336602 0.0223720141479995 0.000919612602553004
"42" "HN1" 0.874220617123905 1.02229599181668 -0.148075374692779 3.68778303263551e-05
"43" "HSPA2" -1.07242708545494 -1.07874806195078 0.00632097649583585 0.000872223744906447
"44" "HTATIP2" 1.12088263711515 0.571405462733833 0.549477174381321 3.95236809650351e-12
"45" "IL1R2" 0.819359708633759 1.22798991305597 -0.408630204422207 0.00675139904646827
"46" "IL33" -0.928554333267884 -1.05403214050642 0.125477807238541 0.00143247075536849
"47" "INPP4B" 0.3913150652287 0.689270164328421 -0.29795509909972 0.000617980421997718
"48" "ITGA6" 0.472895777703034 0.439691276234806 0.0332045014682283 0.00403360853024642
"49" "ITGB5" -0.692672121631074 -0.742559975578426 0.0498878539473511 0.00880190478031611
"50" "ITM2A" -0.99768332826118 -0.76471731361491 -0.232966014646269 1.72593345114215e-05
"51" "JAG2" -0.856439704878721 -0.72945903470133 -0.126980670177391 0.00223214103931667
"52" "LMO2" -0.629286194726962 -0.504092184934675 -0.125194009792287 0.00114627639256112
"53" "LOC100652777///PLA2G10" 0.698934274336137 0.679982818922074 0.0189514554140633 0.000130119302486802
"54" "LOC101930075///PKD1" -0.24226315691889 -0.250764257524931 0.00850110060604115 0.000385825159486019
"55" "LPIN1" -0.302707470057382 -0.312680211332919 0.00997274127553727 0.00970280268579071
"56" "MAOB" -0.957761754943224 -1.01801765697826 0.0602559020350353 0.0114857204860493
"57" "MBOAT7" 0.463859109419966 0.569102922543173 -0.105243813123208 0.01670886092703
"58" "MECP2" -0.326621467505579 -0.451087187236087 0.124465719730508 0.00052391748023402
"59" "METTL9" 0.304633728995885 0.313254333165867 -0.00862060416998212 0.00165232931112149
"60" "MFAP3L" -0.311629103085224 -0.283703573617208 -0.0279255294680167 0.00572121808563203
