"Gene" "CS_NS_A2" "FS_NS_A2" "CS_FS_A2" "FDR_A2"
"61" "MMP10" -2.51273595493143 -2.51183746650224 -0.000898488429191602 9.93298843262072e-07
"62" "MT1G" -0.770406134120996 -0.501678771068374 -0.268727363052622 2.58129285683618e-05
"63" "MUC5AC" 2.45192265205908 1.31959832379978 1.13232432825931 4.52421181599143e-10
"64" "MUC5AC" 2.40557594955444 1.33185522910312 1.07372072045132 4.52421181599143e-10
"65" "MUC5B" -1.98226669207664 -1.39145355193221 -0.590813140144428 2.61045986017491e-05
"66" "N4BP2L1" -0.447538042697281 -0.45455219267365 0.00701414997636807 0.00162099235728416
"67" "NFIB" -0.723499823048726 -0.843674058024679 0.120174234975954 0.0112753095660304
"68" "NQO1" 2.06004571045268 0.992107693218683 1.06793801723399 8.74902558122188e-18
"69" "NUP98" -0.415331278039872 -0.525739435970117 0.110408157930244 0.000497038940185021
"70" "PAX1" -0.140605985726903 -0.153456507337803 0.0128505216108996 0.000425304777609233
"71" "PDGFC" -0.734753843112737 -0.878250170250203 0.143496327137465 0.00040469803364654
"72" "PER2" -0.606080534729448 -0.634686227159382 0.0286056924299345 0.00903665693605702
"73" "PLA1A" -0.621287064096844 -0.546352320542099 -0.0749347435547443 0.00272992865838199
"74" "PSG1" 0.085120596197862 0.0935729706327604 -0.00845237443489832 0.0116003885123806
"75" "PTPRD" 0.0278283443524918 0.0353870883310416 -0.00755874397854983 0.0163544504996132
"76" "PTPRM" -0.235638246898952 -0.291572720976902 0.0559344740779499 0.0200926563367845
"77" "PYGB" 0.273830027305914 0.348942229507254 -0.07511220220134 0.028634046434491
"78" "RDX" -0.593758428490657 -0.732653872681294 0.138895444190637 0.012923181056828
"79" "RERE" -0.303310567848164 -0.488621828611026 0.185311260762862 0.00250294781180935
"80" "RHOBTB3" -0.717754056047898 -0.79407771821124 0.0763236621633414 0.00029838176014276
"81" "RIOK3" 0.468407867693649 0.452762284280457 0.0156455834131926 0.00554738718829861
"82" "RPL17-C18orf32///SNORD58C///C18orf32///SNORD58A///SNORD58B///RPL17" -0.212869625045515 -0.269132725374103 0.0562631003285876 0.0210789057988454
"83" "RRAGD" 0.350230477364409 0.478683765051086 -0.128453287686677 0.00754466857232105
"84" "S100A10" 0.887860342990949 0.788627495314252 0.0992328476766975 1.72406163751638e-07
"85" "S100P" 0.834118943085054 0.662580715249334 0.17153822783572 7.11712804921203e-05
"86" "SEMA5A" -0.485389282406028 -0.47634329407594 -0.00904598833008841 0.013240748991112
"87" "SERINC5" 0.407193392869791 0.360161979387653 0.0470314134821379 0.00275700542645775
"88" "SERPINB5" 0.922982449218315 1.02967511301138 -0.106692663793062 0.025663296656549
"89" "SETD2" -0.45879011010399 -0.561467676847501 0.102677566743512 0.0284977837842693
"90" "SIRT3" -0.535453061843612 -0.474425277515587 -0.061027784328024 0.000879642486601106
"91" "SLC27A2" -0.586440468691984 -0.707055655953255 0.12061518726127 0.00698342602294892
"92" "SNED1" -0.151525824500697 -0.187437351171151 0.0359115266704539 0.000829101777154863
"93" "SNORD18C///SNORD18B///SNORD18A///SNORD16///RPL4" -0.362003532841291 -0.365432055144442 0.00342852230315138 0.00111534903290489
"94" "SPEN" -0.336295630138256 -0.420624178054164 0.0843285479159075 0.0195315377405753
"95" "SRPX2" 2.05638598491342 1.50742417904399 0.548961805869435 1.25964552393423e-08
"96" "SRSF7" -0.568160983483203 -0.706622516819231 0.138461533336028 0.00276350294490457
"97" "STXBP1" -0.697699439195667 -0.874548875843404 0.176849436647737 0.000992377321225205
"98" "SULF1" -0.79382223860763 -0.754056575961244 -0.0397656626463858 0.000825201237793609
"99" "SYNE1" -0.84151829237073 -0.90377789871617 0.0622596063454397 0.0150041116568164
"100" "SYNE3///LINC00341" -0.247267431599003 -0.203184554484622 -0.0440828771143811 0.00172474162824097
"101" "TALDO1" 1.26409718304696 0.649864181283188 0.61423300176377 1.1385546746927e-12
"102" "TBC1D15" 0.498597055562534 0.403930080716237 0.0946669748462972 0.000675214902792229
"103" "TLE1" 0.673082807005855 0.593544401415531 0.0795384055903243 0.000235341879410638
"104" "TLE3" -0.346423300353219 -0.353533030900195 0.00710973054697561 0.00992297738124035
"105" "TM4SF1" 1.77576328177571 1.93240174010177 -0.156638458326056 0.000103356786233584
"106" "TMPRSS4" 0.830334287454809 0.709724724806641 0.120609562648168 9.79203019589483e-05
"107" "TNS1" -0.763315539788475 -0.663595787438296 -0.0997197523501789 0.00017529719889007
"108" "TXN" 1.10105135580624 0.641839164266484 0.459212191539759 3.16179902253004e-08
"109" "UBE2I" -0.570846417509912 -0.621645996225993 0.0507995787160813 0.0065207829200733
"110" "UBE2N" 0.399308486973808 0.317739159277412 0.0815693276963962 0.000486747167568995
"111" "UPK1B" 1.54412625329667 1.30070292153084 0.243423331765833 1.00640304269873e-05
"112" "WNT5B" -0.457254882845178 -0.387482315750225 -0.0697725670949532 0.00313417451245002
"113" "YIPF1" 0.515357085826617 0.424841082349687 0.0905160034769299 0.000165546512943472
"114" "ZNF106" -0.405480119556452 -0.48177300785337 0.0762928882969183 0.0273314204036244
"115" "ZNF117" -0.125271438928794 -0.147453314162201 0.0221818752334069 0.0300267379148285
"116" "ZNF248" -0.132858858598993 -0.178359187359603 0.0455003287606099 0.000538159080523233
